loc,lat,long,name,lng
אזור תעשייה חבל מודיעין,32.0131,34.9595,,
אזור תעשייה חצור הגלילית,32.9842,35.5521,,
אזור תעשייה כנות,31.8013,34.7591,,
אזור תעשייה כרמיאל,32.9263,35.3191,,
אזור תעשייה מבואות הגלבוע,32.5672,35.2676,,
אזור תעשייה מיתרים,31.3726,35.0055,,
אזור תעשייה נ.ע.מ,31.4138,34.6149,,
אזור תעשייה ניר עציון,32.7019,34.973,,
אזור תעשייה נשר - רמלה,31.9179,34.892,,
אזור תעשייה עד הלום,31.7581,34.6559,,
אזור תעשייה עידן הנגב,31.3808,34.786,,
אזור תעשייה צ.ח.ר,32.9705521,35.5646455,,
אזור תעשייה ציפורית,32.7595,35.3161,,
אזור תעשייה צמח,32.7033,35.5869,,
אזור תעשייה צפוני אשקלון,31.6647,34.5981,,
אזור תעשייה קדמת גליל,32.7854,35.4631,,
אזור תעשייה קיסריה,32.4865,34.9464,,
אזור תעשייה קריית גת,31.5962,34.7848,,
אזור תעשייה רגבים,32.5217,35.024,,
אזור תעשייה רותם,31.06,35.1949,,
אזור תעשייה רמת דלתון,33.0279,35.4768,,
אזור תעשייה שחורת,29.5979,34.9719,,
אזור תעשייה שער נעמן,32.8805,35.0976,,
אזור תעשייה תימורים,31.7242,34.7615,,
אזור תעשייה תרדיון,32.8677,35.2731,,
אחווה,31.7429,34.7678,,
אחוזם,31.5527,34.7701,,
אחוזת ברק,32.6431,35.3389,,
אחיהוד,32.9074,35.1717,,
אחיסמך,31.9319,34.9086,,
אחיעזר,31.9817,34.8718,,
איבטין,32.76,35.1146,,
איבים,31.533597,34.609697,,
איילת השחר,33.0211,35.5767,,
אילון,33.0625,35.2192,,
אילות,29.5805,34.963,,
אילניה,32.7539,35.4082,,
אילת,29.5577,34.9519,,
אירוס,31.9286,34.7766,,
איתן,31.5722,34.7479,,
אכסאל,32.6821,35.3207,,
אל מסק,50.5767015,8.0483603,,
אל סייד,31.281719,34.916298,,
אל עזי,31.7189,34.8143,,
אל עמארני,31.1677931042934,34.9696354865507,,
אל עריאן,32.4981,35.1251,,
אל פורעה,31.2288086748377,35.1645333856259,,
אל רום,33.1805,35.7701,,
אל-ח'וואלד מערב,32.771,35.1363,,
אל-סייד והפזורה,31.281719,34.916298,,
אלומה,31.652,34.7429,,
אלומות,32.7066,35.5461,,
אלון הגליל,32.7569,35.2203,,
אלון שבות,31.6549,35.1253,,
אלוני אבא,32.7309,35.172,,
אלוני הבשן,33.0441,35.8385,,
אלוני יצחק,32.51,35.0052,,
אלונים,32.7215,35.1434,,
אלי עד,32.8066,35.7366,,
אליאב,31.5302,34.9284,,
אליפלט,32.9478,35.5485,,
אלישמע,32.1548,34.9305,,
אלמגור,32.9127,35.6023,,
אלעד,32.0495,34.9507,,
אלעזר,31.6597,35.1431,,
אלפי מנשה,32.1706,35.0149,,
אלקוש,33.0343,35.3263,,
אלקנה,32.1106,35.0321,,
אמונים,31.7439,34.6745,,
אמירים,32.9374,35.4504,,
אמנון,32.905,35.5711,,
אמציה,31.5312,34.9145,,
אניעם,32.9566,35.7397,,
אעבלין,32.8218,35.1901,,
אעצם,31.2968415073093,34.9032308563051,,
אפיק,32.7794,35.703,,
אפיקים,32.6806,35.5777,,
אפק,32.8383,35.1278,,
אפרת,31.6536,35.1499,,
ארבל,32.8127,35.4826,,
ארז,31.5597,34.565,,
אריאל,32.1046,35.1745,,
ארסוף,32.2128,34.816,,
אשבול,31.4455,34.6667,,
אשבל,32.877,35.306,,
אשדוד - א,31.804381,34.655314,,
"אשדוד - א,ב,ד,ה",31.8047,34.6469,,
אשדוד - אזור תעשייה צפוני ונ,31.832549376313,34.6794402417561,,
אשדוד - איזור תעשייה צפוני,31.832549376313,34.6794402417561,,
אשדוד - ג,31.8021533926547,34.6620138963342,,
"אשדוד - ג,ו,ז",31.7966,34.6579,,
אשדוד - ח,31.7875644040759,34.6542456235291,,
"אשדוד - ח,ט,י,יג,יד,טז",31.7778,34.6462,,
אשדוד - יא,31.7845740935601,34.6313075231948,,
אשדוד -יא,31.7845740935601,34.6313075231948,,
"אשדוד -יא,יב,טו,יז,מרינה,סיט",31.7845740935601,34.6313075231948,,
אשדות יעקב איחוד,32.6588,35.5796,,
אשדות יעקב מאוחד,32.6648,35.5828,,
אשחר,32.8851,35.2996,,
אשכולות,31.3912,34.9049,,
אשל הנשיא,31.3268,34.6975,,
אשלים,30.9642,34.6997,,
אשקלון,31.6687885,34.5742523,,
אשקלון - דרום,31.661,34.5688,,
אשקלון - צפון,31.686,34.5839,,
אשרת,32.9716,35.1557,,
אשתאול,31.7804,35.0101,,
אתר דודאים,31.3122,34.7338,,
אתר ההנצחה גולני,32.7774,35.4103,,
באקה אל גרבייה,32.4229,35.0358,,
באר גנים,31.7004,34.6109,,
באר טוביה,31.7371,34.7256,,
באר יעקב,31.9435,34.839,,
באר מילכה,30.9341,34.4056,,
באר שבע - דרום,31.2413,34.7711,,
באר שבע - מזרח,31.2345,34.8201,,
באר שבע - מערב,31.2612,34.7794,,
באר שבע - צפון,31.2698,34.8151,,
בארות יצחק,32.042,34.9102,,
בארותיים,32.321,34.9834,,
בארי,31.4245,34.4926,,
בוסתן הגליל,32.9486,35.0807,,
בועיינה-נוג'ידאת,32.8077,35.3653,,
בוקעתא,33.2027,35.7768,,
בורגתה,32.326,34.9638,,
בטחה,31.3339,34.6343,,
ביצרון,31.795,34.7293,,
ביר אלמכסור,32.7773,35.2206,,
ביריה,32.9781,35.5031,,
בית אורן,32.7316,35.0063,,
בית אלעזרי,31.8447,34.8066,,
בית אריה,32.0401,35.0495,,
בית ברל,32.1997,34.9261,,
בית ג'אן,32.9657,35.3813,,
בית ג'ן,32.965655,35.381268,,
בית גוברין,31.6129,34.8956,,
בית גמליאל,31.8561,34.7609,,
בית דגן,32.0018,34.8297,,
בית הגדי,31.4228,34.6079,,
בית הלל,33.2088,35.6065,,
בית העמק,32.971,35.1453,,
בית זית,31.7831,35.1611,,
בית זרע,32.6893,35.5741,,
בית חגי,31.4925,35.0795,,
בית חורון,31.8799,35.1241,,
בית חלקיה,31.793,34.8097,,
בית חנן,31.9352,34.7756,,
בית חנניה,32.5295,34.9267,,
בית חשמונאי,31.8903,34.9176,,
בית יהושע,32.2621,34.8654,,
בית יצחק - שער חפר,32.3356,34.8895,,
בית ירח,32.7144,35.574,,
בית יתיר,31.3656,35.1113,,
בית לחם הגלילית,32.7346,35.1913,,
בית מאיר,31.7948,35.0368,,
בית נחמיה,31.9771,34.9538,,
בית ניר,31.6476,34.8731,,
בית נקופה,31.8044,35.1269,,
בית סוהר השרון,32.2408,34.8848,,
בית סוהר מגידו,32.5709,35.1898,,
בית סוהר נפחא,30.7265,34.7735,,
בית סוהר צלמון,32.8717,35.4474,,
בית סוהר קישון,32.7262,35.0915,,
בית סוהר שיטה וגלבוע,32.5476,35.4151,,
בית ספר אורט בנימינה,32.5498,34.955,,
בית ספר שדה מירון,33.0115,35.3922,,
בית עובד,31.9213,34.7749,,
בית עוזיאל,31.8701,34.9049,,
בית עזרא,31.7364,34.6575,,
בית עלמין תל רגב,32.7678,35.1219,,
בית עריף,31.9954,34.9351,,
בית צבי,32.7189,34.9697,,
בית קמה,31.4466,34.7622,,
בית קשת,32.7184,35.395,,
בית רימון,32.7818,35.3277,,
בית שאן,32.4971,35.4973,,
בית שמש,31.747,34.9881,,
בית שערים,32.6965,35.1788,,
בית שקמה,31.6377,34.6101,,
ביתר עילית,31.701,35.1119,,
בלפוריה,32.63,35.2963,,
בן זכאי,31.8572,34.7274,,
בן עמי,33.0054,35.1222,,
בן שמן,31.9513,34.9198,,
בני ברק,32.0849,34.8352,,
בני דקלים,31.5172,34.917,,
בני דרום,31.8209,34.6916,,
בני דרור,32.2618,34.9018,,
בני יהודה וגבעת יואב,32.7983,35.6911,,
בני נצרים,31.1435,34.3164,,
בני עטרות,32.0215,34.9101,,
בני עי''ש,31.7902,34.7593,,
בני ציון,32.2198,34.8684,,
בני ראם,31.77,34.7905,,
בניה,31.8434,34.7518,,
בנימינה,32.5171,34.9551,,
בסמת טבעון,32.7363,35.1532,,
בענה,32.9295,35.2719,,
בצרה,32.2145,34.8781,,
בצת,33.07,35.1326,,
בקוע,31.8279,34.9247,,
בקעות,32.2421,35.4526,,
בר גיורא,31.7297,35.0734,,
בר יוחאי,32.9977,35.4482,,
ברוכין,32.0822,35.0941,,
ברור חיל,31.557,34.6465,,
ברוש,31.371091,34.634933,,
ברטעה,32.4721,35.095,,
ברכיה,31.668,34.6243,,
ברעם,33.059,35.4332,,
ברקאי,32.4761,35.031,,
ברקן,32.1095,35.106,,
ברקת,32.0183,34.9432,,
בת הדר,31.6481,34.5971,,
בת ים,32.013186,34.748019,,
בת עין,31.6577,35.1011,,
בת שלמה,32.6003,35.0038,,
בת-ים,32.0132,34.748,,
בתי מלון ים המלח,31.1691,35.3673,,
ג'דידה מכר,32.9287,35.1506,,
ג'דיידה-מכר,32.928656,35.150573,,
ג'וליס,32.945,35.1842,,
ג'לג'וליה,32.1525,34.954,,
ג'סר א-זרקא,32.5363,34.9116,,
ג'ש - גוש חלב,33.0213,35.4479,,
ג'ת,32.3984,35.0361,,
גאולים,32.2965,34.9439,,
גאליה,31.8856,34.7654,,
גבולות,31.2112,34.4662,,
גבים,31.506273,34.598949,,
גבע בנימין,31.85,35.2739,,
גבע כרמל,32.6622,34.9541,,
גבעולים,31.397604,34.593821,,
גבעות,31.6789,35.1019,,
גבעות בר,31.3572,34.7555,,
גבעות עדן,31.6622,35.0139,,
גבעת אבני,32.7754,35.4362,,
גבעת אלה,32.722,35.2448,,
גבעת ברנר,31.8666,34.8023,,
גבעת השלושה,32.0963,34.9206,,
גבעת וולפסון,32.7202,35.0161,,
גבעת וושינגטון,31.8175,34.7289,,
גבעת זאב,31.8612,35.1673,,
גבעת חביבה,32.457652,35.02009,,
גבעת חן,32.1676,34.8755,,
גבעת יערים,31.7861,35.0928,,
גבעת ישעיהו,31.6717,34.9437,,
גבעת כ''ח,32.032091,34.938796,,
גבעת ניל''י,32.549043,35.041194,,
גבעת עדה,32.521,35.0114,,
גבעת שמואל,32.0773,34.8492,,
גבעתי,31.7331,34.6795,,
גבעתיים,32.0722,34.8089,,
גברעם,31.5915,34.6122,,
גבת,32.6766,35.2132,,
גדות,33.0182,35.6195,,
גדעונה,32.5499,35.3592,,
גדרה,31.8123,34.777,,
גונן,33.124,35.6462,,
גורן,33.0556,35.2336,,
גורנות הגליל,33.0593,35.2497,,
גזית,32.6393,35.4462,,
גזר,31.8761,34.9203,,
גיאה,31.6285,34.6027,,
גיבתון,31.8883,34.7991,,
גיזו,31.8056,34.9397,,
גילת,31.3263,34.6489,,
גינוסר,32.8487,35.5232,,
גינתון,31.9628,34.9131,,
גיתה,32.9672,35.2491,,
גלאון,31.6334,34.8489,,
גמזו,31.9272,34.9411,,
גן הדרום,31.8041,34.6999,,
גן השומרון,32.465,34.999,,
גן חיים,32.1958,34.907,,
גן יבנה,31.7831,34.7031,,
גן נר,32.5287,35.3363,,
גן שורק,31.944,34.7583,,
גן שלמה,31.8788,34.7989,,
גן שמואל,32.4529,34.9493,,
גנות,32.0182,34.8259,,
גנות הדר,32.3217,34.9007,,
גני הדר,31.8782,34.8576,,
גני טל,31.7886,34.7914,,
גני יוחנן,31.8599,34.8408,,
גני עם,32.1498,34.9034,,
גני תקווה,32.0605,34.8731,,
גניגר,32.6634,35.2599,,
געש,32.2285,34.8244,,
געתון,33.0061,35.2138,,
גפן,31.7404,34.8784,,
גרופית,29.9416,35.0647,,
גשור,32.8199,35.7157,,
גשר הזיו,33.0405,35.1106,,
גת,31.6278,34.7941,,
גת רימון,32.0681,34.8814,,
דבוריה,32.6941,35.3685,,
דברת,32.6467,35.3501,,
דגניה א,32.7069,35.5751,,
דגניה ב,32.6991,35.5776,,
דור,32.607548,34.923294,,
דורות,31.5072,34.6457,,
דחי,32.6225,35.3436,,
דימונה,31.0694,35.0334,,
דיר אל-אסד,32.9344,35.2684,,
דיר חנא,32.8623,35.3653,,
דישון,33.0823,35.5176,,
דלית אל כרמל,32.6938,35.0554,,
דלתון,33.0166,35.4899,,
דמיידה,32.815,35.2266,,
דניאל,31.3109,34.5931,,
דפנה,33.2308,35.6383,,
דקל,31.196642,34.34709,,
דריג'את,31.301885,35.076793,,
האון,32.7267,35.6227,,
הבונים,32.6366,34.9327,,
הגושרים,33.2215,35.623,,
הוד השרון,32.15,34.8839,,
הודיה,31.6764,34.6393,,
הודיות,32.7886,35.435,,
הושעיה,32.7579,35.2952,,
הזורעים,32.7481,35.4999,,
החותרים,32.7523,34.9575,,
היוגב,32.6128,35.2075,,
הילה,33.0362,35.2446,,
המכללה האקדמית כנרת,32.7054,35.5918,,
הסוללים,32.7518,35.238,,
הר אדר,31.8245,35.1297,,
הר ברכה,32.1933,35.2649,,
הר גילה,31.7221,35.1715,,
הר הנגב,30.6817,34.785,,
הר עמשא,31.3427,35.1016,,
הר-חלוץ,32.9506,35.3123,,
הראל,31.80944,34.94903,,
הרדוף,32.7637,35.1747,,
הרצליה - מערב,32.1738,34.8104,,
הרצליה - מרכז וגליל ים,32.1678,34.8413,,
הרצליה - פיתוח,32.1772438548416,34.8094640399948,,
הררית יחד,32.8457,35.3693,,
ואדי אל חמאם,32.8284,35.4917,,
ואדי אל נעם,31.1498515558458,34.8120748226558,,
ואדי אל נעם דרום,31.1413,34.8265,,
ורדון,31.6638,34.7818,,
זבדיאל,31.6592,34.7603,,
זוהר,31.5956,34.6924,,
זיקים,31.6072,34.521,,
זיתן,31.9752,34.8917,,
זכרון יעקב,32.5739,34.952,,
זכריה,31.7088,34.9447,,
זמר,32.3657,35.0347,,
זמרת,31.447853,34.552288,,
זמרת ושובה,31.447853,34.552288,,
זנוח,31.7338,34.9994,,
זרועה,31.4591,34.6242,,
זרזיר,32.7233,35.2204,,
זרחיה,31.6817,34.7464,,
זרעית,33.099,35.2885,,
ח'וואלד,32.7589,35.1584,,
חברון,31.5249,35.108,,
חג'אג'רה,32.741,35.2049,,
חגור,32.1386,34.9476,,
חד נס,32.9275,35.6414,,
חדיד,31.9694,34.9322,,
חדרה - מזרח,32.4258,34.9506,,
חדרה - מערב,32.439,34.8854,,
חדרה - מרכז,32.4352,34.9209,,
חדרה - נווה חיים,32.446,34.9049,,
חוות גלעד,32.2005,35.1812,,
חוות יאיר,32.1453,35.1048,,
חוות שדה בר,31.6609,35.2447,,
חוות שיקמים,31.5113,34.6339,,
חולדה,31.8321,34.8815,,
חולון,32.0158,34.7874,,
חולית,31.2306,34.3273,,
חולתה,33.0529,35.6092,,
חוסן,32.9977,35.2987,,
חוסנייה,32.9006,35.3225,,
חוקוק,32.8786,35.4967,,
חורה,31.3004,34.9357,,
חורפיש,33.0167,35.3471,,
חורשים,32.1379,34.971,,
חזון,32.9066,35.3953,,
חי-בר יטבתה,29.8462,35.0294,,
חיננית,32.4809,35.1732,,
חיפה - כרמל ועיר תחתית,32.8072,34.9877,,
חיפה - מערב,32.8087,34.9603,,
חיפה - נווה שאנן ורמות כרמל,32.7812,35.0015,,
חיפה - קריית חיים ושמואל,32.8283,35.0656,,
חיפה - מפרץ,32.8049,35.0515,,
חירן,31.3096,34.9845,,
חלמיש,32.0083,35.1289,,
חלץ,31.5779,34.6584,,
חמד,32.018,34.8413,,
חמת גדר,32.6834,35.6647,,
חניתה,33.0876,35.1734,,
חנתון,32.7831,35.2451,,
חספין,32.8456,35.793,,
חפץ חיים,31.7893,34.7997,,
חצב,31.7801,34.7706,,
חצבה,30.7679,35.2785,,
חצור,31.773,34.7199,,
חצור אשדוד,31.772744,34.719366,,
חצור הגלילית,32.9804,35.5435,,
חצרים,31.2406,34.7174,,
חרוצים,32.22771,34.86477199999999,,
חרות,32.241,34.9141,,
חריש,32.4619,35.0456,,
חרשים,32.9577,35.3282,,
חשמונאים,31.9326,35.0233,,
טבריה,32.7959,35.531,,
טובא זנגריה,32.9662,35.592,,
טורעאן,32.7751,35.3783,,
טייבה,32.2669,35.0097,,
טייבה בגלבוע,32.6047,35.4446,,
טירה,32.234394,34.951488,,
טירת יהודה,32.0148,34.9359,,
טירת כרמל,32.7621,34.973,,
טל מנשה,32.4831,35.1607,,
טל שחר,31.8044,34.9033,,
טל-אל,32.9273,35.1825,,
טללים,30.9915,34.7713,,
טמרה,32.8522,35.2013,,
טמרה בגלבוע,32.6349,35.4027,,
טנא עומרים,31.3761,34.9574,,
טפחות,32.8686,35.4222,,
יבול,31.1895,34.319,,
יבנאל,32.7088,35.5038,,
יבנה,31.878,34.7394,,
יגור,32.7415,35.0768,,
יגל,31.9878,34.8803,,
יד בנימין,31.7967,34.8204,,
יד השמונה,31.8095,35.0896,,
יד מרדכי,31.587,34.5575,,
יד נתן,31.653,34.7049,,
יד רמב''ם,31.899841,34.900086,,
יהוד-מונוסון,32.0303,34.8871,,
יהל,30.0842,35.1284,,
יובלים,32.8782,35.2693,,
יודפת,32.8366,35.2715,,
יונתן,32.9397,35.7955,,
יושיביה,31.4447,34.6088,,
יזרעאל,32.5626,35.3194,,
יחיעם,32.9961,35.2211,,
יטבתה,29.8963,35.0592,,
יכיני,31.4822,34.5986,,
ינוב,32.3074,34.9514,,
ינוח-ג'ת,32.9816,35.2412,,
ינון,31.7418,34.7809,,
יסוד המעלה,33.0536,35.589,,
יסודות,31.8158,34.8656,,
יסעור,32.9011,35.1666,,
יעד,32.8812,35.2406,,
יעף,32.2683,34.9674,,
יערה,33.068,35.1861,,
יערות הכרמל,32.7073,35.0107,,
יפיע,32.695,35.282,,
יפית,32.0627,35.4743,,
יפעת,32.6759,35.224,,
יפתח,33.1283,35.552,,
יצהר,32.1685,35.2359,,
יציץ,31.8632,34.8619,,
יקום,32.249196,34.84190299999999,,
יקיר,32.1498,35.1146,,
יראון,33.0772,35.4543,,
ירוחם,30.9878,34.9297,,
ירושלים - אזור תעשייה עטרות,31.8606,35.2167,,
ירושלים - דרום,31.7377,35.1847,,
ירושלים - כפר עקב,31.8749,35.2175,,
ירושלים - מזרח,31.7627,35.2403,,
ירושלים - מערב,31.7742,35.1727,,
ירושלים - מרכז,31.7781,35.2164,,
ירושלים - צפון,31.8211,35.2389,,
ירחיב,32.1515,34.968,,
ירכא,32.9535,35.212,,
ירקונה,32.1445,34.8979,,
ישובי אומן,32.5655,35.2384,,
ישובי יעל,32.5521,35.3065,,
ישע,31.247595,34.403091,,
ישעי,31.753,34.9626,,
ישרש,31.9157,34.8473,,
יתד,31.207,34.3261,,
כאבול,32.87,35.2054,,
כאוכב אבו אלהיג'א,32.8319,35.2487,,
כברי,33.021,35.147,,
כדורי,32.7062,35.4063,,
כוחלה מכחול,31.287112,35.048572,,
כוכב יאיר - צור יגאל,32.2209,34.9924,,
כוכב יעקב,31.8803,35.2459,,
כוכב מיכאל,31.6315,34.6678,,
כורזים ורד הגליל,32.9042,35.5508,,
כושי רמון,30.3066,35.1346,,
כחל,32.8905,35.5116,,
כינרת מושבה,32.7238,35.5652,,
כינרת קבוצה,32.7142,35.5627,,
כיסופים,31.3745,34.399,,
כיסרא סמיע,32.9723,35.3041,,
כישור,32.9467,35.2502,,
כלא דמון,32.7332,35.0234,,
כליל,32.9836,35.1997,,
כלנית,32.8753,35.454,,
כמהין,30.9103,34.4307,,
כמון,32.9125,35.3555,,
כנות,31.8022,34.7509,,
כנף,32.8704,35.6979,,
כסייפה,31.249246,35.083681,,
כסייפה והפזורה,31.2347,35.0681,,
כסיפה,31.249246,35.083681,,
כסלון,31.7743,35.0482,,
כעביה,32.7567,35.1865,,
כעביה טבאש,32.7504,35.184,,
כפר אביב,31.831,34.7226,,
כפר אוריה,31.7934,34.9448,,
כפר אחים,31.7459,34.7559,,
כפר אלדד,31.654,35.251,,
כפר ביאליק,32.8214,35.0877,,
כפר ביל''ו,31.870475,34.826734,,
כפר בלום,33.1725,35.6079,,
כפר בן נון,31.8617,34.9472,,
כפר ברא,32.1309,34.9701,,
כפר ברוך,32.646,35.1931,,
כפר גדעון,32.6446,35.2893,,
כפר גלים,32.7662,34.9595,,
כפר גליקסון,32.5058,35.0035,,
כפר גלעדי,33.2421,35.5741,,
כפר דניאל,31.9335,34.9323,,
כפר האורנים,31.9199,35.0369,,
כפר החורש,32.7015,35.273,,
כפר המכבי,32.7918,35.1148,,
כפר הנגיד,31.8871,34.7487,,
כפר הנוער ימין אורד,32.7016,34.9898,,
כפר הנשיא,32.9747,35.6023,,
כפר הס,32.2477,34.9351,,
כפר הרי''ף וצומת ראם,31.747,34.7909,,
כפר ורבורג,31.7187,34.7287,,
כפר ורדים,32.9951,35.2691,,
כפר זוהרים,31.6226,34.9257,,
כפר זיתים,32.8116,35.4652,,
כפר חב''ד,31.990144,34.849103,,
כפר חיטים,32.8,35.5033,,
כפר חנניה,32.916,35.4238,,
כפר חסידים,32.7523,35.0942,,
כפר חרוב,32.7624,35.6642,,
כפר טבאש,32.7485,35.1707,,
כפר טרומן,31.9805,34.9277,,
כפר יהושע,32.6816,35.152,,
כפר יובל,33.2466,35.5964,,
כפר יונה,32.3177,34.9336,,
כפר יחזקאל,32.5669,35.3609,,
כפר יסיף,32.952,35.16,,
כפר יעבץ,32.2739,34.9655,,
כפר כמא,32.7211,35.4428,,
כפר כנא,32.7482,35.3438,,
כפר מימון ותושיה,31.4324,34.5384,,
כפר מל''ל,32.167567,34.894744,,
כפר מנדא,32.8124,35.2586,,
כפר מנחם,31.7321,34.8351,,
כפר מסריק,32.8912,35.0984,,
כפר מצר,32.6453,35.4221,,
כפר מרדכי,31.8315,34.7566,,
כפר נהר הירדן,32.7683,35.4356,,
כפר נוער בן שמן,31.9597,34.9291,,
כפר נטר,32.2719,34.872,,
כפר סאלד,33.196,35.658,,
כפר סבא,32.1782,34.9076,,
כפר סילבר,31.673,34.6121,,
כפר סירקין,32.0767,34.9228,,
כפר עבודה,32.2557,34.9397,,
כפר עזה,31.4834,34.5323,,
כפר עציון,31.6495,35.1152,,
כפר פינס,32.4827,35.0021,,
כפר קאסם,32.1141,34.9728,,
כפר קיש,32.6661,35.449,,
כפר קרע,32.5055,35.0543,,
כפר רות,31.9104,35.0353,,
כפר שמאי,32.9557,35.4579,,
כפר שמואל,31.8883,34.9348,,
כפר שמריהו,32.1871,34.8231,,
כפר תבור,32.6873,35.42,,
כפר תפוח,32.118,35.2498,,
כפר תקווה,32.7013,35.115,,
כרכור,32.4728028,34.9742001,,
כרם ביבנה,31.817,34.7236,,
כרם בן זמרה,33.0392,35.4699,,
כרם מהר''ל,32.644325,34.99145,,
כרם שלום,31.2283,34.2846,,
כרמי גת,31.6056632,34.7737312,,
כרמי יוסף,31.848,34.9213,,
כרמי צור,31.6095,35.1013,,
כרמיאל,32.9147,35.2924,,
כרמיה,31.6027,34.5404,,
כרמים,31.3337,34.9179,,
כרמית,31.3322,34.8968,,
כרמל,31.4318,35.1828,,
לבון,32.9412,35.2865,,
לביא,32.7876,35.4407,,
לבנים,32.8638,35.4975,,
להב,31.3794,34.8713,,
להבות הבשן,33.1412,35.6479,,
להבות חביבה,32.3952,35.0118,,
להבים,31.3738,34.817,,
לוד,31.951,34.8881,,
לוזית,31.6882,34.8882,,
לוחמי הגטאות,32.9627,35.0967,,
לוטם וחמדון,32.8809,35.36,,
לוטן,29.9883,35.0868,,
לטרון,31.8369,34.9772,,
לימן,33.0587,35.1118,,
לכיש,31.5609,34.8441,,
לפיד,31.917,35.0318,,
לפידות,32.9598,35.261,,
לקיה,31.324884,34.866219,,
לקיה והפזורה,31.3249,34.8662,,
מאור,32.4258,35.0053,,
מאיר שפיה,32.5912,34.9711,,
מבוא ביתר,31.7226,35.1067,,
מבוא חורון,31.8496,35.035,,
מבוא חמה,32.7367,35.6552,,
מבוא מודיעים,31.9339,34.988,,
מבועים,31.4494,34.655,,
מבטחים,31.242423,34.407488,,
מבטחים עמיעוז ישע,31.248463,34.413404,,
מבקיעים,31.6225,34.5774,,
מבשרת ציון,31.8041,35.1579,,
מג'דל כרום,32.9201,35.2566,,
מג'דל שמס,33.2691,35.7721,,
מגדים,32.7277,34.9609,,
מגדל,32.8395,35.4998,,
מגדל העמק,32.6778,35.2417,,
מגדל עוז,31.6409,35.1431,,
מגדלים,32.0899,35.3426,,
מגל,32.3856,35.0361,,
מגן,31.2987362,34.4269827,,
מגן שאול,32.5215,35.3064,,
מגשימים,32.0444,34.8998,,
מדרשת בן גוריון,30.8523,34.7834,,
מודיעין,31.8903,35.0104,,
מודיעין - ישפרו סנטר,31.8898056,34.9649992,,
מודיעין - ליגד סנטר,31.9211897,34.9701743,,
מודיעין עילית,31.9325,35.0423,,
מודיעין-מכבים-רעות,31.890267,35.010397,,
מולדה,31.261071,34.975564,,
מועאוויה,32.5319,35.1029,,
מועצה אזורית דרום השרון,32.133539,34.910989,,
מוצא עילית,31.7936,35.157,,
מוקיבלה,32.5151,35.2948,,
מורן,32.9216,35.3948,,
מורשת,32.8261,35.232,,
מזור,32.0507,34.9314,,
מזכרת בתיה,31.8532,34.8424,,
מזרע,32.6499,35.2864,,
מזרעה,32.9837,35.0989,,
מחניים,32.9888,35.5704,,
מחסיה,31.7489,35.0073,,
מטווח ניר עם,31.5128,34.5543,,
מטולה,33.2772,35.5782,,
מטע,31.7165,35.0606,,
מי עמי,32.505,35.1464,,
מייסר,32.4452,35.0421,,
מיצד,31.5862,35.1876,,
מיצר,32.7686,35.7364,,
