lat,lng,loc
31.7728,34.9981,אזור תעשייה הר טוב - צרעה
32.0131,34.9595,אזור תעשייה חבל מודיעין
32.9842,35.5521,אזור תעשייה חצור הגלילית
32.2267,34.9791,אזור תעשייה טירה
32.6639,35.105,אזור תעשייה יקנעם עילית
31.8013,34.7591,אזור תעשייה כנות
32.9263,35.3191,אזור תעשייה כרמיאל
32.6207,35.078,אזור תעשייה מבוא כרמל
32.5672,35.2676,אזור תעשייה מבואות הגלבוע
31.7925,35.335,אזור תעשייה מישור אדומים
31.3726,35.0055,אזור תעשייה מיתרים
31.4138,34.6149,אזור תעשייה נ.ע.מ
32.7019,34.973,אזור תעשייה ניר עציון
31.9179,34.892,אזור תעשייה נשר - רמלה
31.7581,34.6559,אזור תעשייה עד הלום
31.3808,34.786,אזור תעשייה עידן הנגב
32.4049,34.8967,אזור תעשייה עמק חפר
32.9705521,35.5646455,אזור תעשייה צ.ח.ר
32.5425,35.5031,אזור תעשייה צבאים
32.7595,35.3161,אזור תעשייה ציפורית
32.7033,35.5869,אזור תעשייה צמח
31.6647,34.5981,אזור תעשייה צפוני אשקלון
32.7854,35.4631,אזור תעשייה קדמת גליל
32.4865,34.9464,אזור תעשייה קיסריה
31.5962,34.7848,אזור תעשייה קריית גת
32.5217,35.024,אזור תעשייה רגבים
31.06,35.1949,אזור תעשייה רותם
33.0279,35.4768,אזור תעשייה רמת דלתון
29.5979,34.9719,אזור תעשייה שחורת
31.8654,35.2617,אזור תעשייה שער בנימין
32.8805,35.0976,אזור תעשייה שער נעמן
31.7242,34.7615,אזור תעשייה תימורים
32.8677,35.2731,אזור תעשייה תרדיון
31.7429,34.7678,אחווה
31.5527,34.7701,אחוזם
32.6431,35.3389,אחוזת ברק
32.0605,35.3273,אחיה
32.9074,35.1717,אחיהוד
32.3877,34.9908,אחיטוב
31.9319,34.9086,אחיסמך
31.9817,34.8718,אחיעזר
32.76,35.1146,איבטין
32.211823,34.979862,אייל
33.0211,35.5767,איילת השחר
33.0625,35.2192,אילון
29.5805,34.963,אילות
32.7539,35.4082,אילניה
29.5577,34.9519,אילת
31.9286,34.7766,אירוס
32.1739,35.308,איתמר
31.5722,34.7479,איתן
32.6821,35.3207,אכסאל
31.2864,34.9079,אל סייד והפזורה
31.7189,34.8143,אל עזי
30.7983,35.2346,"אל עמארני, אל מסק"
32.4981,35.1251,אל עריאן
31.2198,35.1642,אל פורעה והפזורה
33.1805,35.7701,אל רום
32.771,35.1363,אל-ח'וואלד מערב
31.652,34.7429,אלומה
32.7066,35.5461,אלומות
31.8334,35.3536,אלון
32.7569,35.2203,אלון הגליל
32.2344,35.3312,אלון מורה
31.6549,35.1253,אלון שבות
32.7309,35.172,אלוני אבא
33.0441,35.8385,אלוני הבשן
32.51,35.0052,אלוני יצחק
32.7215,35.1434,אלונים
32.8066,35.7366,אלי עד
31.5302,34.9284,אליאב
32.4077,34.925,אליכין
29.7882,35.0032,אליפז ומכרות תמנע
32.9478,35.5485,אליפלט
32.6333,35.0676,אליקים
32.3802,34.9099,אלישיב
32.1548,34.9305,אלישמע
32.9127,35.6023,אלמגור
31.79,35.462,אלמוג
32.0495,34.9507,אלעד
31.6597,35.1431,אלעזר
32.1706,35.0149,אלפי מנשה
33.0343,35.3263,אלקוש
32.1106,35.0321,אלקנה
31.7439,34.6745,אמונים
32.9374,35.4504,אמירים
32.905,35.5711,אמנון
32.3692,34.9931,אמץ
31.5312,34.9145,אמציה
32.9566,35.7397,אניעם
32.8218,35.1901,אעבלין
32.7794,35.703,אפיק
32.6806,35.5777,אפיקים
32.8383,35.1278,אפק
31.6536,35.1499,אפרת
32.8127,35.4826,ארבל
32.1733,35.5223,ארגמן
31.5597,34.565,ארז
32.1046,35.1745,אריאל
32.2128,34.816,ארסוף
31.4455,34.6667,אשבול
32.877,35.306,אשבל
31.8047,34.6469,"אשדוד - א,ב,ד,ה"
31.8298,34.6602,אשדוד - אזור תעשייה צפוני ונמל
31.7966,34.6579,"אשדוד - ג,ו,ז"
31.7778,34.6462,"אשדוד - ח,ט,י,יג,יד,טז"
31.7836,34.6332,"אשדוד - יא,יב,טו,יז,מרינה,סיטי"
32.6588,35.5796,אשדות יעקב איחוד
32.6648,35.5828,אשדות יעקב מאוחד
32.8851,35.2996,אשחר
31.3912,34.9049,אשכולות
31.3268,34.6975,אשל הנשיא
30.9642,34.6997,אשלים
31.661,34.5688,אשקלון - דרום
31.686,34.5839,אשקלון - צפון
32.9716,35.1557,אשרת
31.7804,35.0101,אשתאול
31.3122,34.7338,אתר דודאים
32.7774,35.4103,אתר ההנצחה גולני
32.4229,35.0358,באקה אל גרבייה
29.7102,34.9872,באר אורה
31.7004,34.6109,באר גנים
31.7371,34.7256,באר טוביה
31.9435,34.839,באר יעקב
30.9341,34.4056,באר מילכה
31.2413,34.7711,באר שבע - דרום
31.2345,34.8201,באר שבע - מזרח
31.2612,34.7794,באר שבע - מערב
31.2698,34.8151,באר שבע - צפון
32.042,34.9102,בארות יצחק
32.321,34.9834,בארותיים
31.4245,34.4926,בארי
32.9486,35.0807,בוסתן הגליל
32.8077,35.3653,בועיינה-נוג'ידאת
33.2027,35.7768,בוקעתא
32.326,34.9638,בורגתה
32.3518,35.0185,בחן
31.3339,34.6343,בטחה
31.795,34.7293,ביצרון
32.7773,35.2206,ביר אלמכסור
31.0302,34.7169,ביר הדאג' והפזורה
32.9781,35.5031,ביריה
32.7316,35.0063,בית אורן
31.9416,35.2227,בית אל
31.8447,34.8066,בית אלעזרי
32.5187,35.4262,בית אלפא וחפציבה
32.0401,35.0495,בית אריה
32.1997,34.9261,בית ברל
32.9657,35.3813,בית ג'אן
31.6129,34.8956,בית גוברין
31.8561,34.7609,בית גמליאל
32.0018,34.8297,בית דגן
31.4228,34.6079,בית הגדי
32.3516,34.9304,בית הלוי
33.2088,35.6065,בית הלל
32.971,35.1453,בית העמק
31.8078,35.4764,בית הערבה
32.5509,35.4394,בית השיטה
31.7831,35.1611,בית זית
32.6893,35.5741,בית זרע
31.4925,35.0795,בית חגי
31.8799,35.1241,בית חורון
32.3872,34.9129,בית חזון
31.793,34.8097,בית חלקיה
31.9352,34.7756,בית חנן
32.5295,34.9267,בית חנניה
32.3762,34.8738,בית חרות
31.8903,34.9176,בית חשמונאי
32.2621,34.8654,בית יהושע
32.5587,35.5528,בית יוסף
32.3817,34.8635,בית ינאי
32.3356,34.8895,בית יצחק - שער חפר
31.3656,35.1113,בית יתיר
32.7346,35.1913,בית לחם הגלילית
31.7948,35.0368,בית מאיר
31.9771,34.9538,בית נחמיה
31.6476,34.8731,בית ניר
31.8044,35.1269,בית נקופה
32.2408,34.8848,בית סוהר השרון
32.5709,35.1898,בית סוהר מגידו
30.7265,34.7735,בית סוהר נפחא
32.8717,35.4474,בית סוהר צלמון
32.7262,35.0915,בית סוהר קישון
32.5476,35.4151,בית סוהר שיטה וגלבוע
32.5498,34.955,בית ספר אורט בנימינה
33.0115,35.3922,בית ספר שדה מירון
31.9213,34.7749,בית עובד
31.8701,34.9049,בית עוזיאל
31.7364,34.6575,בית עזרא
32.7678,35.1219,בית עלמין תל רגב
31.9954,34.9351,בית עריף
32.7189,34.9697,בית צבי
31.4466,34.7622,בית קמה
32.7184,35.395,בית קשת
32.7818,35.3277,בית רימון
32.4971,35.4973,בית שאן
31.747,34.9881,בית שמש
32.6965,35.1788,בית שערים
31.6377,34.6101,בית שקמה
32.3649,34.8696,ביתן אהרן
31.701,35.1119,ביתר עילית
32.63,35.2963,בלפוריה
31.8572,34.7274,בן זכאי
33.0054,35.1222,בן עמי
31.9513,34.9198,בן שמן
32.0849,34.8352,בני ברק
31.5172,34.917,בני דקלים
31.8209,34.6916,בני דרום
32.2618,34.9018,בני דרור
32.7983,35.6911,בני יהודה וגבעת יואב
31.1435,34.3164,בני נצרים
32.0215,34.9101,בני עטרות
31.7902,34.7593,בני עי''ש
32.2198,34.8684,בני ציון
31.77,34.7905,בני ראם
31.8434,34.7518,בניה
32.5171,34.9551,בנימינה
32.7363,35.1532,בסמת טבעון
32.9295,35.2719,בענה
32.2145,34.8781,בצרה
33.07,35.1326,בצת
31.8279,34.9247,בקוע
32.2421,35.4526,בקעות
31.7297,35.0734,בר גיורא
32.9977,35.4482,בר יוחאי
32.0822,35.0941,ברוכין
31.557,34.6465,ברור חיל
31.371091,34.634933,ברוש
32.4721,35.095,ברטעה
31.668,34.6243,ברכיה
33.059,35.4332,ברעם
32.4761,35.031,ברקאי
32.1095,35.106,ברקן
32.0183,34.9432,ברקת
31.6481,34.5971,בת הדר
32.3602,34.8724,בת חן
32.3337,35.0137,בת חפר
31.6577,35.1011,בת עין
32.6003,35.0038,בת שלמה
32.0132,34.748,בת-ים
31.1691,35.3673,בתי מלון ים המלח
32.9287,35.1506,ג'דידה מכר
32.945,35.1842,ג'וליס
32.1525,34.954,ג'לג'וליה
32.5363,34.9116,ג'סר א-זרקא
33.0213,35.4479,ג'ש - גוש חלב
32.3984,35.0361,ג'ת
32.3918,34.901,גאולי תימן
32.2965,34.9439,גאולים
31.8856,34.7654,גאליה
31.2112,34.4662,גבולות
31.5071,34.5974,"גבים, מכללת ספיר"
32.5661,35.3728,קבוצת גבע
31.85,35.2739,גבע בנימין
32.6622,34.9541,גבע כרמל
31.6789,35.1019,גבעות
31.3572,34.7555,גבעות בר
31.4098,34.7905,גבעות גורל
31.6622,35.0139,גבעות עדן
32.7754,35.4362,גבעת אבני
32.722,35.2448,גבעת אלה
31.9112,35.2481,גבעת אסף
31.8666,34.8023,גבעת ברנר
32.0563,35.2748,גבעת הראל וגבעת הרואה
32.0963,34.9206,גבעת השלושה
32.7202,35.0161,גבעת וולפסון
31.8175,34.7289,גבעת וושינגטון
31.8612,35.1673,גבעת זאב
32.457652,35.02009,גבעת חביבה
32.3967,34.933,גבעת חיים איחוד
32.3921,34.9294,גבעת חיים מאוחד
32.1676,34.8755,גבעת חן
31.7861,35.0928,גבעת יערים
31.6717,34.9437,גבעת ישעיהו
32.032091,34.938796,גבעת כ''ח
32.549043,35.041194,גבעת ניל''י
32.521,35.0114,גבעת עדה
32.5559,35.198,גבעת עוז
32.0773,34.8492,גבעת שמואל
32.3576,34.8758,גבעת שפירא
31.7331,34.6795,גבעתי
32.0722,34.8089,גבעתיים
31.5915,34.6122,גברעם
32.6766,35.2132,גבת
33.0182,35.6195,גדות
32.5499,35.3592,גדעונה
31.8123,34.777,גדרה
33.124,35.6462,גונן
33.0556,35.2336,גורן
33.0593,35.2497,גורנות הגליל
32.6393,35.4462,גזית
31.8761,34.9203,גזר
31.6285,34.6027,גיאה
31.8883,34.7991,גיבתון
31.8056,34.9397,גיזו
31.3263,34.6489,גילת
32.8487,35.5232,גינוסר
31.9628,34.9131,גינתון
32.9672,35.2491,גיתה
32.1003,35.3954,גיתית
31.6334,34.8489,גלאון
32.0004,35.4448,גלגל
32.5575,35.0763,גלעד
31.9272,34.9411,גמזו
31.8041,34.6999,גן הדרום
32.465,34.999,גן השומרון
32.1958,34.907,גן חיים
32.3495,34.9962,גן יאשיה
31.7831,34.7031,גן יבנה
32.5287,35.3363,גן נר
31.944,34.7583,גן שורק
31.8788,34.7989,גן שלמה
32.4529,34.9493,גן שמואל
32.0182,34.8259,גנות
32.3217,34.9007,גנות הדר
31.8782,34.8576,גני הדר
31.7886,34.7914,גני טל
31.8599,34.8408,גני יוחנן
32.1498,34.9034,גני עם
32.0605,34.8731,גני תקווה
32.6634,35.2599,גניגר
32.2285,34.8244,געש
33.0061,35.2138,געתון
31.7404,34.8784,גפן
29.9416,35.0647,גרופית
32.8199,35.7157,גשור
32.6212,35.5504,גשר
33.0405,35.1106,גשר הזיו
31.6278,34.7941,גת
32.0681,34.8814,גת רימון
32.6941,35.3685,דבוריה
31.4117,34.8252,דביר
32.6467,35.3501,דברת
32.7069,35.5751,דגניה א
32.6991,35.5776,דגניה ב
33.0508,35.407747,דוב''ב
31.9262,35.1336,דולב
32.607548,34.923294,דור
31.5072,34.6457,דורות
32.6225,35.3436,דחי
31.0694,35.0334,דימונה
32.9344,35.2684,דיר אל-אסד
32.8623,35.3653,דיר חנא
33.0823,35.5176,דישון
32.5892,35.077,דליה
32.6938,35.0554,דלית אל כרמל
33.0166,35.4899,דלתון
32.815,35.2266,דמיידה
33.2406,35.6523,קיבוץ דן
31.3109,34.5931,דניאל
33.2308,35.6383,דפנה
31.196642,34.34709,דקל
32.7267,35.6227,האון
32.6366,34.9327,הבונים
33.2215,35.623,הגושרים
32.3497,34.8989,הדר עם
32.15,34.8839,הוד השרון
31.6764,34.6393,הודיה
32.7886,35.435,הודיות
32.7579,35.2952,הושעיה
32.7481,35.4999,הזורעים
32.7523,34.9575,החותרים
32.6128,35.2075,היוגב
33.0362,35.2446,הילה
32.7054,35.5918,המכללה האקדמית כנרת
32.378,34.9831,המעפיל
32.3424,34.9123,המרכז האקדמי רופין
32.7518,35.238,הסוללים
32.3604,34.9233,העוגן
31.8245,35.1297,הר אדר
32.1933,35.2649,הר ברכה
31.7221,35.1715,הר גילה
30.6817,34.785,הר הנגב
31.3427,35.1016,הר עמשא
32.9506,35.3123,הר-חלוץ
31.80944,34.94903,הראל
32.7637,35.1747,הרדוף
32.1738,34.8104,הרצליה - מערב
32.1678,34.8413,הרצליה - מרכז וגליל ים
32.8457,35.3693,הררית יחד
32.8284,35.4917,ואדי אל חמאם
31.1413,34.8265,ואדי אל נעם דרום
31.8262,35.4321,ורד יריחו
31.6638,34.7818,ורדון
31.6592,34.7603,זבדיאל
31.5956,34.6924,זוהר
31.6072,34.521,זיקים
31.9752,34.8917,זיתן
32.5739,34.952,זכרון יעקב
31.7088,34.9447,זכריה
32.3657,35.0347,זמר
31.4518,34.5467,"זמרת, שובה"
31.7338,34.9994,זנוח
31.4591,34.6242,זרועה
32.7233,35.2204,זרזיר
31.6817,34.7464,זרחיה
33.099,35.2885,זרעית
32.7589,35.1584,ח'וואלד
32.3601,34.8585,חבצלת השרון וצוקי ים
31.5249,35.108,חברון
32.741,35.2049,חג'אג'רה
32.1386,34.9476,חגור
32.3891,34.9243,חגלה
32.9275,35.6414,חד נס
31.9694,34.9322,חדיד
32.4258,34.9506,חדרה - מזרח
32.439,34.8854,חדרה - מערב
32.4352,34.9209,חדרה - מרכז
32.446,34.9049,חדרה - נווה חיים
32.2005,35.1812,חוות גלעד
32.1453,35.1048,חוות יאיר
32.4658,35.4866,חוות עדן
30.1149,35.1515,חוות ערנדל
31.6609,35.2447,חוות שדה בר
31.5113,34.6339,חוות שיקמים
31.8321,34.8815,חולדה
32.0158,34.7874,חולון
31.2306,34.3273,חולית
33.0529,35.6092,חולתה
32.9977,35.2987,חוסן
32.9006,35.3225,חוסנייה
32.3861,34.8741,חופית
32.8786,35.4967,חוקוק
31.3004,34.9357,חורה
33.0167,35.3471,חורפיש
32.1379,34.971,חורשים
32.9066,35.3953,חזון
29.8462,35.0294,חי-בר יטבתה
32.398,34.9119,חיבת ציון
32.4809,35.1732,חיננית
32.8072,34.9877,חיפה - כרמל ועיר תחתית
32.8087,34.9603,חיפה - מערב
32.7812,35.0015,חיפה - נווה שאנן ורמות כרמל
32.8283,35.0656,חיפה - קריית חיים ושמואל
32.8049,35.0515,חיפה - מפרץ
31.3096,34.9845,חירן
32.0083,35.1289,חלמיש
31.5779,34.6584,חלץ
32.018,34.8413,חמד
32.5198,35.5206,חמדיה
32.252,35.5268,חמדת
32.1997,35.4374,חמרה
32.6834,35.6647,חמת גדר
32.3328,34.9477,חניאל
33.0876,35.1734,חניתה
32.7831,35.2451,חנתון
32.8456,35.793,חספין
31.7893,34.7997,חפץ חיים
31.7801,34.7706,חצב
30.7679,35.2785,חצבה
31.773,34.7199,חצור
32.9804,35.5435,חצור הגלילית
31.2406,34.7174,חצרים
32.4035,34.9171,חרב לאת
32.2277,34.8648,חרוצים
32.241,34.9141,חרות
32.4619,35.0456,חריש
32.4237,35.119,חרמש
31.9444,35.148,חרשה
32.9577,35.3282,חרשים
31.9326,35.0233,חשמונאים
32.7959,35.531,טבריה
32.9662,35.592,טובא זנגריה
32.7751,35.3783,טורעאן
32.2669,35.0097,טייבה
32.6047,35.4446,טייבה בגלבוע
32.234394,34.951488,טירה
32.0148,34.9359,טירת יהודה
32.7621,34.973,טירת כרמל
32.4225,35.5283,טירת צבי
32.4831,35.1607,טל מנשה
31.8044,34.9033,טל שחר
32.9273,35.1825,טל-אל
30.9915,34.7713,טללים
31.9395,35.1331,טלמון
32.8522,35.2013,טמרה
32.6349,35.4027,טמרה בגלבוע
31.3761,34.9574,טנא עומרים
32.8686,35.4222,טפחות
31.1895,34.319,יבול
32.7088,35.5038,יבנאל
31.878,34.7394,יבנה
32.7415,35.0768,יגור
31.9878,34.8803,יגל
31.7967,34.8204,יד בנימין
31.8095,35.0896,יד השמונה
32.3253,35.0067,יד חנה
31.587,34.5575,יד מרדכי
31.653,34.7049,יד נתן
31.899841,34.900086,יד רמב''ם
32.0303,34.8871,יהוד-מונוסון
30.0842,35.1284,יהל
32.8782,35.2693,יובלים
32.8366,35.2715,יודפת
32.9397,35.7955,יונתן
31.4447,34.6088,יושיביה
32.5626,35.3194,יזרעאל
32.9961,35.2211,יחיעם
29.8963,35.0592,יטבתה
31.947215,35.422375,ייט''ב
31.4822,34.5986,יכיני
32.3074,34.9514,ינוב
32.9816,35.2412,ינוח-ג'ת
31.7418,34.7809,ינון
33.0536,35.589,יסוד המעלה
31.8158,34.8656,יסודות
32.9011,35.1666,יסעור
32.8812,35.2406,יעד
32.2683,34.9674,יעף
33.068,35.1861,יערה
32.7073,35.0107,יערות הכרמל
32.695,35.282,יפיע
32.0627,35.4743,יפית
32.6759,35.224,יפעת
33.1283,35.552,יפתח
32.1685,35.2359,יצהר
31.8632,34.8619,יציץ
32.2492,34.8419,יקום
32.1498,35.1146,יקיר
32.6559,35.1152,יקנעם המושבה והזורע
32.6602,35.1046,יקנעם עילית
33.0772,35.4543,יראון
32.5654,35.566,ירדנה
30.9878,34.9297,ירוחם
31.8606,35.2167,ירושלים - אזור תעשייה עטרות
31.7377,35.1847,ירושלים - דרום
31.8749,35.2175,ירושלים - כפר עקב
31.7627,35.2403,ירושלים - מזרח
31.7742,35.1727,ירושלים - מערב
31.7781,35.2164,ירושלים - מרכז
31.8211,35.2389,ירושלים - צפון
32.1515,34.968,ירחיב
32.9535,35.212,ירכא
32.1445,34.8979,ירקונה
32.5655,35.2384,ישובי אומן
32.5483,35.2661,מרכז חבר
32.5521,35.3065,ישובי יעל
31.753,34.9626,ישעי
31.9157,34.8473,ישרש
31.207,34.3261,יתד
32.87,35.2054,כאבול
32.8319,35.2487,כאוכב אבו אלהיג'א
33.021,35.147,כברי
32.7062,35.4063,כדורי
31.9603,35.3494,כוכב השחר
32.2209,34.9924,כוכב יאיר - צור יגאל
31.8803,35.2459,כוכב יעקב
31.6315,34.6678,כוכב מיכאל
32.9042,35.5508,כורזים ורד הגליל
30.3066,35.1346,כושי רמון
32.8905,35.5116,כחל
32.7238,35.5652,כינרת מושבה
32.7142,35.5627,כינרת קבוצה
31.3745,34.399,כיסופים
32.9723,35.3041,כיסרא סמיע
32.9467,35.2502,כישור
32.7332,35.0234,כלא דמון
32.9836,35.1997,כליל
32.8753,35.454,כלנית
30.9103,34.4307,כמהין
32.9125,35.3555,כמון
31.8022,34.7509,כנות
32.8704,35.6979,כנף
31.2347,35.0681,כסייפה והפזורה
31.7743,35.0482,כסלון
32.7567,35.1865,כעביה
32.7504,35.184,כעביה טבאש
31.831,34.7226,כפר אביב
31.8272,35.3372,כפר אדומים
31.7934,34.9448,כפר אוריה
31.7459,34.7559,כפר אחים
31.654,35.251,כפר אלדד
32.8214,35.0877,כפר ביאליק
31.870475,34.826734,כפר ביל''ו
33.1725,35.6079,כפר בלום
31.8617,34.9472,כפר בן נון
32.1309,34.9701,כפר ברא
32.646,35.1931,כפר ברוך
32.6446,35.2893,כפר גדעון
32.7662,34.9595,כפר גלים
32.5058,35.0035,כפר גליקסון
33.2421,35.5741,כפר גלעדי
32.4386,35.4128,כפר גמילה מלכישוע
31.9335,34.9323,כפר דניאל
31.9199,35.0369,כפר האורנים
32.7015,35.273,כפר החורש
32.7918,35.1148,כפר המכבי
31.8871,34.7487,כפר הנגיד
32.7016,34.9898,כפר הנוער ימין אורד
32.9747,35.6023,כפר הנשיא
32.2477,34.9351,כפר הס
32.391037,34.910917,כפר הרא''ה
31.747,34.7909,כפר הרי''ף וצומת ראם
32.3805,34.8753,כפר ויתקין
31.7187,34.7287,כפר ורבורג
32.9951,35.2691,כפר ורדים
31.6226,34.9257,כפר זוהרים
32.8116,35.4652,כפר זיתים
31.990144,34.849103,כפר חב''ד
32.8,35.5033,כפר חיטים
32.3539,34.9007,כפר חיים
32.916,35.4238,כפר חנניה
32.7523,35.0942,כפר חסידים
32.7624,35.6642,כפר חרוב
32.7485,35.1707,כפר טבאש
31.9805,34.9277,כפר טרומן
32.3449,34.899,כפר ידידיה
32.6816,35.152,כפר יהושע
33.2466,35.5964,כפר יובל
32.3177,34.9336,כפר יונה
32.5669,35.3609,כפר יחזקאל
32.952,35.16,כפר יסיף
32.2739,34.9655,כפר יעבץ
32.7211,35.4428,כפר כמא
32.7482,35.3438,כפר כנא
32.3456,34.9164,כפר מונש
31.4324,34.5384,כפר מימון ותושיה
32.6453,35.4221,כפר מצר
32.167567,34.894744,כפר מל''ל
32.8124,35.2586,כפר מנדא
31.7321,34.8351,כפר מנחם
32.8912,35.0984,כפר מסריק
31.8315,34.7566,כפר מרדכי
32.7683,35.4356,כפר נהר הירדן
31.9597,34.9291,כפר נוער בן שמן
32.2719,34.872,כפר נטר
33.196,35.658,כפר סאלד
32.1782,34.9076,כפר סבא
31.673,34.6121,כפר סילבר
32.0767,34.9228,כפר סירקין
32.2557,34.9397,כפר עבודה
31.4834,34.5323,כפר עזה
31.6495,35.1152,כפר עציון
32.4827,35.0021,כפר פינס
32.1141,34.9728,כפר קאסם
32.6661,35.449,כפר קיש
32.5055,35.0543,כפר קרע
32.4576,35.5557,כפר רופין
31.9104,35.0353,כפר רות
32.9557,35.4579,כפר שמאי
31.8883,34.9348,כפר שמואל
32.1871,34.8231,כפר שמריהו
32.6873,35.42,כפר תבור
32.118,35.2498,כפר תפוח
32.7013,35.115,כפר תקווה
32.9283,35.6063,כרכום
31.817,34.7236,כרם ביבנה
33.0392,35.4699,כרם בן זמרה
32.644325,34.99145,כרם מהר''ל
31.2283,34.2846,כרם שלום
31.848,34.9213,כרמי יוסף
31.6095,35.1013,כרמי צור
31.5378,34.912,כרמי קטיף
32.9147,35.2924,כרמיאל
31.6027,34.5404,כרמיה
31.3337,34.9179,כרמים
31.3322,34.8968,כרמית
31.4318,35.1828,כרמל
32.9412,35.2865,לבון
32.7876,35.4407,לביא
32.8638,35.4975,לבנים
31.3794,34.8713,להב
33.1412,35.6479,להבות הבשן
32.3952,35.0118,להבות חביבה
31.3738,34.817,להבים
31.951,34.8881,לוד
31.6882,34.8882,לוזית
32.9627,35.0967,לוחמי הגטאות
32.8809,35.36,לוטם וחמדון
29.9883,35.0868,לוטן
31.8369,34.9772,לטרון
33.0587,35.1118,לימן
31.5609,34.8441,לכיש
31.917,35.0318,לפיד
32.9598,35.261,לפידות
31.3249,34.8662,לקיה והפזורה
32.4258,35.0053,מאור
32.5912,34.9711,מאיר שפיה
31.7226,35.1067,מבוא ביתר
32.4208,35.1739,מבוא דותן
31.8496,35.035,מבוא חורון
32.7367,35.6552,מבוא חמה
31.9339,34.988,מבוא מודיעים
31.9074,35.4156,מבואות יריחו
31.4494,34.655,מבועים
31.2426,34.4065,"מבטחים, עמיעוז, ישע"
31.6225,34.5774,מבקיעים
31.8041,35.1579,מבשרת ציון
32.9201,35.2566,מג'דל כרום
33.2691,35.7721,מג'דל שמס
32.7277,34.9609,מגדים
32.8395,35.4998,מגדל
32.6778,35.2417,מגדל העמק
31.6409,35.1431,מגדל עוז
32.9767,35.278,מגדל תפן
32.0899,35.3426,מגדלים
32.5785,35.1805,קיבוץ מגידו
32.3856,35.0361,מגל
31.2987362,34.4269827,מגן
32.5215,35.3064,מגן שאול
31.874167,35.259588,מגרון
32.0444,34.8998,מגשימים
32.5946,35.158,מדרך עוז
30.8523,34.7834,מדרשת בן גוריון
31.8903,35.0104,מודיעין
31.8898056,34.9649992,מודיעין - ישפרו סנטר
31.9211897,34.9701743,מודיעין - ליגד סנטר
31.9325,35.0423,מודיעין עילית
32.5862,35.4389,מולדת
32.5319,35.1029,מועאוויה
32.1336,34.912,מרכז אזורי דרום השרון
33.1209,35.5699,מרכז אזורי מבואות חרמון
32.998,35.4415,מרכז אזורי מרום גליל
31.7936,35.157,מוצא עילית
32.5151,35.2948,מוקיבלה
32.9216,35.3948,מורן
32.8261,35.232,מורשת
32.0507,34.9314,מזור
31.8532,34.8424,מזכרת בתיה
32.6499,35.2864,מזרע
32.9837,35.0989,מזרעה
32.3653,35.516,מחולה
32.9888,35.5704,מחניים
31.7489,35.0073,מחסיה
31.5128,34.5543,מטווח ניר עם
33.2772,35.5782,מטולה
31.7165,35.0606,מטע
32.505,35.1464,מי עמי
32.4452,35.0421,מייסר
31.5862,35.1876,מיצד
32.7686,35.7364,מיצר
32.452,35.4225,מירב
32.9852,35.4416,מירון
31.8159,34.7526,מישר
31.327,34.9432,מיתר
32.263,34.837,מכון וינגייט
32.1642,35.4236,מכורה
32.4065,34.8716,מכמורת
32.9075,35.3287,מכמנים
31.1803,35.3645,מלונות ים המלח מרכז
33.0986,35.5096,מלכיה
31.0345,35.0478,ממשית
31.6562,34.7773,מנוחה
32.8533,35.2374,מנוף
33.0387,35.1952,מנות
32.6643,35.5553,מנחמיה
32.9781,35.572,מנחת מחניים
33.1954,35.5437,מנרה
