name,lat,lng,loc
אכסאל,32.6821,35.3207,אכסאל
אל סייד והפזורה,31.2864,34.9079,אל סייד והפזורה
אל עזי,31.7189,34.8143,אל עזי
"אל עמארני, אל מסק",30.7983,35.2346,"אל עמארני, אל מסק"
אל עריאן,32.4981,35.1251,אל עריאן
אל פורעה והפזורה,31.2198,35.1642,אל פורעה והפזורה
אל רום,33.1805,35.7701,אל רום
אל-ח'וואלד מערב,32.771,35.1363,אל-ח'וואלד מערב
אלומה,31.652,34.7429,אלומה
אלומות,32.7066,35.5461,אלומות
אלון,31.8334,35.3536,אלון
אלון הגליל,32.7569,35.2203,אלון הגליל
אלון מורה,32.2344,35.3312,אלון מורה
אלון שבות,31.6549,35.1253,אלון שבות
אלוני אבא,32.7309,35.172,אלוני אבא
אלוני הבשן,33.0441,35.8385,אלוני הבשן
אלוני יצחק,32.51,35.0052,אלוני יצחק
אלונים,32.7215,35.1434,אלונים
אלי עד,32.8066,35.7366,אלי עד
אליאב,31.5302,34.9284,אליאב
אליכין,32.4077,34.925,אליכין
אליפז ומכרות תמנע,29.7882,35.0032,אליפז ומכרות תמנע
אליפלט,32.9478,35.5485,אליפלט
אליקים,32.6333,35.0676,אליקים
אלישיב,32.3802,34.9099,אלישיב
אלישמע,32.1548,34.9305,אלישמע
אלמגור,32.9127,35.6023,אלמגור
אלמוג,31.79,35.462,אלמוג
אלעד,32.0495,34.9507,אלעד
אלעזר,31.6597,35.1431,אלעזר
אלפי מנשה,32.1706,35.0149,אלפי מנשה
אלקוש,33.0343,35.3263,אלקוש
אלקנה,32.1106,35.0321,אלקנה
אמונים,31.7439,34.6745,אמונים
אמירים,32.9374,35.4504,אמירים
אמנון,32.905,35.5711,אמנון
אמץ,32.3692,34.9931,אמץ
אמציה,31.5312,34.9145,אמציה
אניעם,32.9566,35.7397,אניעם
אעבלין,32.8218,35.1901,אעבלין
אפיק,32.7794,35.703,אפיק
אפיקים,32.6806,35.5777,אפיקים
אפק,32.8383,35.1278,אפק
אפרת,31.6536,35.1499,אפרת
ארבל,32.8127,35.4826,ארבל
ארגמן,32.1733,35.5223,ארגמן
ארז,31.5597,34.565,ארז
אריאל,32.1046,35.1745,אריאל
ארסוף,32.2128,34.816,ארסוף
אשבול,31.4455,34.6667,אשבול
אשבל,32.877,35.306,אשבל
"אשדוד - א,ב,ד,ה",31.8047,34.6469,"אשדוד - א,ב,ד,ה"
אשדוד - אזור תעשייה צפוני ונמל,31.8298,34.6602,אשדוד - אזור תעשייה צפוני ונמל
"אשדוד - ג,ו,ז",31.7966,34.6579,"אשדוד - ג,ו,ז"
"אשדוד - ח,ט,י,יג,יד,טז",31.7778,34.6462,"אשדוד - ח,ט,י,יג,יד,טז"
"אשדוד - יא,יב,טו,יז,מרינה,סיטי",31.7836,34.6332,"אשדוד - יא,יב,טו,יז,מרינה,סיטי"
אשדות יעקב איחוד,32.6588,35.5796,אשדות יעקב איחוד
אשדות יעקב מאוחד,32.6648,35.5828,אשדות יעקב מאוחד
אשחר,32.8851,35.2996,אשחר
אשכולות,31.3912,34.9049,אשכולות
אשל הנשיא,31.3268,34.6975,אשל הנשיא
אשלים,30.9642,34.6997,אשלים
אשקלון - דרום,31.661,34.5688,אשקלון - דרום
אשקלון - צפון,31.686,34.5839,אשקלון - צפון
אשרת,32.9716,35.1557,אשרת
אשתאול,31.7804,35.0101,אשתאול
אתר דודאים,31.3122,34.7338,אתר דודאים
אתר ההנצחה גולני,32.7774,35.4103,אתר ההנצחה גולני
באקה אל גרבייה,32.4229,35.0358,באקה אל גרבייה
באר אורה,29.7102,34.9872,באר אורה
באר גנים,31.7004,34.6109,באר גנים
באר טוביה,31.7371,34.7256,באר טוביה
באר יעקב,31.9435,34.839,באר יעקב
באר מילכה,30.9341,34.4056,באר מילכה
באר שבע - דרום,31.2413,34.7711,באר שבע - דרום
באר שבע - מזרח,31.2345,34.8201,באר שבע - מזרח
באר שבע - מערב,31.2612,34.7794,באר שבע - מערב
באר שבע - צפון,31.2698,34.8151,באר שבע - צפון
בארות יצחק,32.042,34.9102,בארות יצחק
בארותיים,32.321,34.9834,בארותיים
בארי,31.4245,34.4926,בארי
בוסתן הגליל,32.9486,35.0807,בוסתן הגליל
בועיינה-נוג'ידאת,32.8077,35.3653,בועיינה-נוג'ידאת
בוקעתא,33.2027,35.7768,בוקעתא
בורגתה,32.326,34.9638,בורגתה
בחן,32.3518,35.0185,בחן
בטחה,31.3339,34.6343,בטחה
ביצרון,31.795,34.7293,ביצרון
ביר אלמכסור,32.7773,35.2206,ביר אלמכסור
ביר הדאג' והפזורה,31.0302,34.7169,ביר הדאג' והפזורה
ביריה,32.9781,35.5031,ביריה
בית אורן,32.7316,35.0063,בית אורן
בית אל,31.9416,35.2227,בית אל
בית אלעזרי,31.8447,34.8066,בית אלעזרי
בית אלפא וחפציבה,32.5187,35.4262,בית אלפא וחפציבה
בית אריה,32.0401,35.0495,בית אריה
בית ברל,32.1997,34.9261,בית ברל
בית ג'אן,32.9657,35.3813,בית ג'אן
בית גוברין,31.6129,34.8956,בית גוברין
בית גמליאל,31.8561,34.7609,בית גמליאל
בית דגן,32.0018,34.8297,בית דגן
בית הגדי,31.4228,34.6079,בית הגדי
בית הלוי,32.3516,34.9304,בית הלוי
בית הלל,33.2088,35.6065,בית הלל
בית העמק,32.971,35.1453,בית העמק
בית הערבה,31.8078,35.4764,בית הערבה
בית השיטה,32.5509,35.4394,בית השיטה
בית זית,31.7831,35.1611,בית זית
בית זרע,32.6893,35.5741,בית זרע
בית חגי,31.4925,35.0795,בית חגי
בית חורון,31.8799,35.1241,בית חורון
בית חזון,32.3872,34.9129,בית חזון
בית חלקיה,31.793,34.8097,בית חלקיה
בית חנן,31.9352,34.7756,בית חנן
בית חנניה,32.5295,34.9267,בית חנניה
בית חרות,32.3762,34.8738,בית חרות
בית חשמונאי,31.8903,34.9176,בית חשמונאי
בית יהושע,32.2621,34.8654,בית יהושע
בית יוסף,32.5587,35.5528,בית יוסף
בית ינאי,32.3817,34.8635,בית ינאי
בית יצחק - שער חפר,32.3356,34.8895,בית יצחק - שער חפר
בית יתיר,31.3656,35.1113,בית יתיר
בית לחם הגלילית,32.7346,35.1913,בית לחם הגלילית
בית מאיר,31.7948,35.0368,בית מאיר
בית נחמיה,31.9771,34.9538,בית נחמיה
בית ניר,31.6476,34.8731,בית ניר
בית נקופה,31.8044,35.1269,בית נקופה
בית סוהר השרון,32.2408,34.8848,בית סוהר השרון
בית סוהר מגידו,32.5709,35.1898,בית סוהר מגידו
בית סוהר נפחא,30.7265,34.7735,בית סוהר נפחא
בית סוהר צלמון,32.8717,35.4474,בית סוהר צלמון
בית סוהר קישון,32.7262,35.0915,בית סוהר קישון
בית סוהר שיטה וגלבוע,32.5476,35.4151,בית סוהר שיטה וגלבוע
בית ספר אורט בנימינה,32.5498,34.955,בית ספר אורט בנימינה
בית ספר שדה מירון,33.0115,35.3922,בית ספר שדה מירון
בית עובד,31.9213,34.7749,בית עובד
בית עוזיאל,31.8701,34.9049,בית עוזיאל
בית עזרא,31.7364,34.6575,בית עזרא
בית עלמין תל רגב,32.7678,35.1219,בית עלמין תל רגב
בית עריף,31.9954,34.9351,בית עריף
בית צבי,32.7189,34.9697,בית צבי
בית קמה,31.4466,34.7622,בית קמה
בית קשת,32.7184,35.395,בית קשת
בית רימון,32.7818,35.3277,בית רימון
בית שאן,32.4971,35.4973,בית שאן
בית שמש,31.747,34.9881,בית שמש
בית שערים,32.6965,35.1788,בית שערים
בית שקמה,31.6377,34.6101,בית שקמה
ביתן אהרן,32.3649,34.8696,ביתן אהרן
ביתר עילית,31.701,35.1119,ביתר עילית
בלפוריה,32.63,35.2963,בלפוריה
בן זכאי,31.8572,34.7274,בן זכאי
בן עמי,33.0054,35.1222,בן עמי
בן שמן,31.9513,34.9198,בן שמן
בני ברק,32.0849,34.8352,בני ברק
בני דקלים,31.5172,34.917,בני דקלים
בני דרום,31.8209,34.6916,בני דרום
בני דרור,32.2618,34.9018,בני דרור
בני יהודה וגבעת יואב,32.7983,35.6911,בני יהודה וגבעת יואב
בני נצרים,31.1435,34.3164,בני נצרים
בני עטרות,32.0215,34.9101,בני עטרות
בני עי''ש,31.7902,34.7593,בני עי''ש
בני ציון,32.2198,34.8684,בני ציון
בני ראם,31.77,34.7905,בני ראם
בניה,31.8434,34.7518,בניה
בנימינה,32.5171,34.9551,בנימינה
בסמת טבעון,32.7363,35.1532,בסמת טבעון
בענה,32.9295,35.2719,בענה
בצרה,32.2145,34.8781,בצרה
בצת,33.07,35.1326,בצת
בקוע,31.8279,34.9247,בקוע
בקעות,32.2421,35.4526,בקעות
בר גיורא,31.7297,35.0734,בר גיורא
בר יוחאי,32.9977,35.4482,בר יוחאי
ברוכין,32.0822,35.0941,ברוכין
ברור חיל,31.557,34.6465,ברור חיל
ברוש,31.371091,34.634933,ברוש
ברטעה,32.4721,35.095,ברטעה
ברכיה,31.668,34.6243,ברכיה
ברעם,33.059,35.4332,ברעם
ברקאי,32.4761,35.031,ברקאי
ברקן,32.1095,35.106,ברקן
ברקת,32.0183,34.9432,ברקת
בת הדר,31.6481,34.5971,בת הדר
בת חן,32.3602,34.8724,בת חן
בת חפר,32.3337,35.0137,בת חפר
בת עין,31.6577,35.1011,בת עין
בת שלמה,32.6003,35.0038,בת שלמה
בת-ים,32.0132,34.748,בת-ים
בתי מלון ים המלח,31.1691,35.3673,בתי מלון ים המלח
ג'דידה מכר,32.9287,35.1506,ג'דידה מכר
ג'וליס,32.945,35.1842,ג'וליס
ג'לג'וליה,32.1525,34.954,ג'לג'וליה
ג'סר א-זרקא,32.5363,34.9116,ג'סר א-זרקא
ג'ש - גוש חלב,33.0213,35.4479,ג'ש - גוש חלב
ג'ת,32.3984,35.0361,ג'ת
גאולי תימן,32.3918,34.901,גאולי תימן
גאולים,32.2965,34.9439,גאולים
גאליה,31.8856,34.7654,גאליה
גבולות,31.2112,34.4662,גבולות
"גבים, מכללת ספיר",31.5071,34.5974,"גבים, מכללת ספיר"
קבוצת גבע,32.5661,35.3728,קבוצת גבע
גבע בנימין,31.85,35.2739,גבע בנימין
גבע כרמל,32.6622,34.9541,גבע כרמל
גבעות,31.6789,35.1019,גבעות
גבעות בר,31.3572,34.7555,גבעות בר
גבעות גורל,31.4098,34.7905,גבעות גורל
גבעות עדן,31.6622,35.0139,גבעות עדן
גבעת אבני,32.7754,35.4362,גבעת אבני
גבעת אלה,32.722,35.2448,גבעת אלה
גבעת אסף,31.9112,35.2481,גבעת אסף
גבעת ברנר,31.8666,34.8023,גבעת ברנר
גבעת הראל וגבעת הרואה,32.0563,35.2748,גבעת הראל וגבעת הרואה
גבעת השלושה,32.0963,34.9206,גבעת השלושה
גבעת וולפסון,32.7202,35.0161,גבעת וולפסון
גבעת וושינגטון,31.8175,34.7289,גבעת וושינגטון
גבעת זאב,31.8612,35.1673,גבעת זאב
גבעת חביבה,32.457652,35.02009,גבעת חביבה
גבעת חיים איחוד,32.3967,34.933,גבעת חיים איחוד
גבעת חיים מאוחד,32.3921,34.9294,גבעת חיים מאוחד
גבעת חן,32.1676,34.8755,גבעת חן
גבעת יערים,31.7861,35.0928,גבעת יערים
גבעת ישעיהו,31.6717,34.9437,גבעת ישעיהו
גבעת כ''ח,32.032091,34.938796,גבעת כ''ח
גבעת ניל''י,32.549043,35.041194,גבעת ניל''י
גבעת עדה,32.521,35.0114,גבעת עדה
גבעת עוז,32.5559,35.198,גבעת עוז
גבעת שמואל,32.0773,34.8492,גבעת שמואל
גבעת שפירא,32.3576,34.8758,גבעת שפירא
גבעתי,31.7331,34.6795,גבעתי
גבעתיים,32.0722,34.8089,גבעתיים
גברעם,31.5915,34.6122,גברעם
גבת,32.6766,35.2132,גבת
גדות,33.0182,35.6195,גדות
גדעונה,32.5499,35.3592,גדעונה
גדרה,31.8123,34.777,גדרה
גונן,33.124,35.6462,גונן
גורן,33.0556,35.2336,גורן
גורנות הגליל,33.0593,35.2497,גורנות הגליל
גזית,32.6393,35.4462,גזית
גזר,31.8761,34.9203,גזר
גיאה,31.6285,34.6027,גיאה
גיבתון,31.8883,34.7991,גיבתון
גיזו,31.8056,34.9397,גיזו
גילת,31.3263,34.6489,גילת
גינוסר,32.8487,35.5232,גינוסר
גינתון,31.9628,34.9131,גינתון
גיתה,32.9672,35.2491,גיתה
גיתית,32.1003,35.3954,גיתית
גלאון,31.6334,34.8489,גלאון
גלגל,32.0004,35.4448,גלגל
גלעד,32.5575,35.0763,גלעד
גמזו,31.9272,34.9411,גמזו
גן הדרום,31.8041,34.6999,גן הדרום
גן השומרון,32.465,34.999,גן השומרון
גן חיים,32.1958,34.907,גן חיים
גן יאשיה,32.3495,34.9962,גן יאשיה
גן יבנה,31.7831,34.7031,גן יבנה
גן נר,32.5287,35.3363,גן נר
גן שורק,31.944,34.7583,גן שורק
גן שלמה,31.8788,34.7989,גן שלמה
גן שמואל,32.4529,34.9493,גן שמואל
גנות,32.0182,34.8259,גנות
גנות הדר,32.3217,34.9007,גנות הדר
גני הדר,31.8782,34.8576,גני הדר
גני טל,31.7886,34.7914,גני טל
גני יוחנן,31.8599,34.8408,גני יוחנן
גני עם,32.1498,34.9034,גני עם
גני תקווה,32.0605,34.8731,גני תקווה
גניגר,32.6634,35.2599,גניגר
געש,32.2285,34.8244,געש
געתון,33.0061,35.2138,געתון
גפן,31.7404,34.8784,גפן
גרופית,29.9416,35.0647,גרופית
גשור,32.8199,35.7157,גשור
גשר,32.6212,35.5504,גשר
גשר הזיו,33.0405,35.1106,גשר הזיו
גת,31.6278,34.7941,גת
גת רימון,32.0681,34.8814,גת רימון
דבוריה,32.6941,35.3685,דבוריה
דביר,31.4117,34.8252,דביר
דברת,32.6467,35.3501,דברת
דגניה א,32.7069,35.5751,דגניה א
דגניה ב,32.6991,35.5776,דגניה ב
דוב''ב,33.0508,35.407747,דוב''ב
דולב,31.9262,35.1336,דולב
דור,32.607548,34.923294,דור
דורות,31.5072,34.6457,דורות
דחי,32.6225,35.3436,דחי
דימונה,31.0694,35.0334,דימונה
דיר אל-אסד,32.9344,35.2684,דיר אל-אסד
דיר חנא,32.8623,35.3653,דיר חנא
דישון,33.0823,35.5176,דישון
דליה,32.5892,35.077,דליה
דלית אל כרמל,32.6938,35.0554,דלית אל כרמל
דלתון,33.0166,35.4899,דלתון
דמיידה,32.815,35.2266,דמיידה
קיבוץ דן,33.2406,35.6523,קיבוץ דן
דניאל,31.3109,34.5931,דניאל
דפנה,33.2308,35.6383,דפנה
דקל,31.196642,34.34709,דקל
האון,32.7267,35.6227,האון
הבונים,32.6366,34.9327,הבונים
הגושרים,33.2215,35.623,הגושרים
הדר עם,32.3497,34.8989,הדר עם
הוד השרון,32.15,34.8839,הוד השרון
הודיה,31.6764,34.6393,הודיה
הודיות,32.7886,35.435,הודיות
הושעיה,32.7579,35.2952,הושעיה
הזורעים,32.7481,35.4999,הזורעים
החותרים,32.7523,34.9575,החותרים
היוגב,32.6128,35.2075,היוגב
הילה,33.0362,35.2446,הילה
המכללה האקדמית כנרת,32.7054,35.5918,המכללה האקדמית כנרת
המעפיל,32.378,34.9831,המעפיל
המרכז האקדמי רופין,32.3424,34.9123,המרכז האקדמי רופין
הסוללים,32.7518,35.238,הסוללים
העוגן,32.3604,34.9233,העוגן
הר אדר,31.8245,35.1297,הר אדר
הר ברכה,32.1933,35.2649,הר ברכה
הר גילה,31.7221,35.1715,הר גילה
הר הנגב,30.6817,34.785,הר הנגב
הר עמשא,31.3427,35.1016,הר עמשא
הר-חלוץ,32.9506,35.3123,הר-חלוץ
הראל,31.80944,34.94903,הראל
הרדוף,32.7637,35.1747,הרדוף
הרצליה - מערב,32.1738,34.8104,הרצליה - מערב
הרצליה - מרכז וגליל ים,32.1678,34.8413,הרצליה - מרכז וגליל ים
הררית יחד,32.8457,35.3693,הררית יחד
ואדי אל חמאם,32.8284,35.4917,ואדי אל חמאם
ואדי אל נעם דרום,31.1413,34.8265,ואדי אל נעם דרום
ורד יריחו,31.8262,35.4321,ורד יריחו
ורדון,31.6638,34.7818,ורדון
זבדיאל,31.6592,34.7603,זבדיאל
זוהר,31.5956,34.6924,זוהר
זיקים,31.6072,34.521,זיקים
זיתן,31.9752,34.8917,זיתן
זכרון יעקב,32.5739,34.952,זכרון יעקב
זכריה,31.7088,34.9447,זכריה
זמר,32.3657,35.0347,זמר
"זמרת, שובה",31.4518,34.5467,"זמרת, שובה"
זנוח,31.7338,34.9994,זנוח
זרועה,31.4591,34.6242,זרועה
זרזיר,32.7233,35.2204,זרזיר
זרחיה,31.6817,34.7464,זרחיה
זרעית,33.099,35.2885,זרעית
ח'וואלד,32.7589,35.1584,ח'וואלד
חבצלת השרון וצוקי ים,32.3601,34.8585,חבצלת השרון וצוקי ים
חברון,31.5249,35.108,חברון
חג'אג'רה,32.741,35.2049,חג'אג'רה
חגור,32.1386,34.9476,חגור
חגלה,32.3891,34.9243,חגלה
חד נס,32.9275,35.6414,חד נס
חדיד,31.9694,34.9322,חדיד
חדרה - מזרח,32.4258,34.9506,חדרה - מזרח
חדרה - מערב,32.439,34.8854,חדרה - מערב
חדרה - מרכז,32.4352,34.9209,חדרה - מרכז
חדרה - נווה חיים,32.446,34.9049,חדרה - נווה חיים
חוות גלעד,32.2005,35.1812,חוות גלעד
חוות יאיר,32.1453,35.1048,חוות יאיר
חוות עדן,32.4658,35.4866,חוות עדן
חוות ערנדל,30.1149,35.1515,חוות ערנדל
חוות שדה בר,31.6609,35.2447,חוות שדה בר
חוות שיקמים,31.5113,34.6339,חוות שיקמים
חולדה,31.8321,34.8815,חולדה
חולון,32.0158,34.7874,חולון
חולית,31.2306,34.3273,חולית
חולתה,33.0529,35.6092,חולתה
חוסן,32.9977,35.2987,חוסן
חוסנייה,32.9006,35.3225,חוסנייה
חופית,32.3861,34.8741,חופית
חוקוק,32.8786,35.4967,חוקוק
חורה,31.3004,34.9357,חורה
חורפיש,33.0167,35.3471,חורפיש
חורשים,32.1379,34.971,חורשים
חזון,32.9066,35.3953,חזון
חי-בר יטבתה,29.8462,35.0294,חי-בר יטבתה
חיבת ציון,32.398,34.9119,חיבת ציון
חיננית,32.4809,35.1732,חיננית
חיפה - כרמל ועיר תחתית,32.8072,34.9877,חיפה - כרמל ועיר תחתית
חיפה - מערב,32.8087,34.9603,חיפה - מערב
חיפה - נווה שאנן ורמות כרמל,32.7812,35.0015,חיפה - נווה שאנן ורמות כרמל
חיפה - קריית חיים ושמואל,32.8283,35.0656,חיפה - קריית חיים ושמואל
חיפה - מפרץ,32.8049,35.0515,חיפה - מפרץ
חירן,31.3096,34.9845,חירן
חלמיש,32.0083,35.1289,חלמיש
חלץ,31.5779,34.6584,חלץ
חמד,32.018,34.8413,חמד
חמדיה,32.5198,35.5206,חמדיה
חמדת,32.252,35.5268,חמדת
חמרה,32.1997,35.4374,חמרה
חמת גדר,32.6834,35.6647,חמת גדר
חניאל,32.3328,34.9477,חניאל
חניתה,33.0876,35.1734,חניתה
חנתון,32.7831,35.2451,חנתון
חספין,32.8456,35.793,חספין
חפץ חיים,31.7893,34.7997,חפץ חיים
חצב,31.7801,34.7706,חצב
חצבה,30.7679,35.2785,חצבה
חצור,31.773,34.7199,חצור
חצור הגלילית,32.9804,35.5435,חצור הגלילית
חצרים,31.2406,34.7174,חצרים
חרב לאת,32.4035,34.9171,חרב לאת
חרוצים,32.2277,34.8648,חרוצים
חרות,32.241,34.9141,חרות
חריש,32.4619,35.0456,חריש
חרמש,32.4237,35.119,חרמש
חרשה,31.9444,35.148,חרשה
חרשים,32.9577,35.3282,חרשים
חשמונאים,31.9326,35.0233,חשמונאים
טבריה,32.7959,35.531,טבריה
טובא זנגריה,32.9662,35.592,טובא זנגריה
טורעאן,32.7751,35.3783,טורעאן
טייבה,32.2669,35.0097,טייבה
טייבה בגלבוע,32.6047,35.4446,טייבה בגלבוע
טירה,32.234394,34.951488,טירה
טירת יהודה,32.0148,34.9359,טירת יהודה
טירת כרמל,32.7621,34.973,טירת כרמל
טירת צבי,32.4225,35.5283,טירת צבי
טל מנשה,32.4831,35.1607,טל מנשה
טל שחר,31.8044,34.9033,טל שחר
טל-אל,32.9273,35.1825,טל-אל
טללים,30.9915,34.7713,טללים
טלמון,31.9395,35.1331,טלמון
טמרה,32.8522,35.2013,טמרה
טמרה בגלבוע,32.6349,35.4027,טמרה בגלבוע
טנא עומרים,31.3761,34.9574,טנא עומרים
טפחות,32.8686,35.4222,טפחות
יבול,31.1895,34.319,יבול
יבנאל,32.7088,35.5038,יבנאל
יבנה,31.878,34.7394,יבנה
יגור,32.7415,35.0768,יגור
יגל,31.9878,34.8803,יגל
יד בנימין,31.7967,34.8204,יד בנימין
יד השמונה,31.8095,35.0896,יד השמונה
יד חנה,32.3253,35.0067,יד חנה
יד מרדכי,31.587,34.5575,יד מרדכי
יד נתן,31.653,34.7049,יד נתן
יד רמב''ם,31.899841,34.900086,יד רמב''ם
יהוד-מונוסון,32.0303,34.8871,יהוד-מונוסון
יהל,30.0842,35.1284,יהל
יובלים,32.8782,35.2693,יובלים
יודפת,32.8366,35.2715,יודפת
יונתן,32.9397,35.7955,יונתן
יושיביה,31.4447,34.6088,יושיביה
יזרעאל,32.5626,35.3194,יזרעאל
יחיעם,32.9961,35.2211,יחיעם
יטבתה,29.8963,35.0592,יטבתה
ייט''ב,31.947215,35.422375,ייט''ב
יכיני,31.4822,34.5986,יכיני
ינוב,32.3074,34.9514,ינוב
