city_name	id	he	en	ru	ar	es	area	countdown	lat	lng
אילון	1571	אילון	Eilon	Эйлон	ايلون	Eilon	6	0	33.0625	35.2192
אילות	9	אילות	Eilot	Эйлот	ايالوت	Eilot	26	30	29.5805	34.963
אילניה	1265	אילניה	Ilania	Илания	ايلانيا	Ilania	34	60	32.7539	35.4082
אילת	4	אילת	Eilat	Эйлат	أييلت	Eilat	26	30	29.5577	34.9519
אירוס	1807	אירוס	Irus	Ирус	ايروس	Irus	23	90	31.9286	34.7766
איתמר	852	איתמר	Itamar	Итамар	إيتمار	Itamar	11	90	32.1739	35.308
איתן	273	איתן	Eitan	Эйтан	ايتان	Eitan	7	30	31.5722	34.7479
אכסאל	1178	אכסאל	Iksal	Иксаль	اكسال	Iksal	34	60	32.6821	35.3207
אל סייד	1921	אל סייד והפזורה	AlSayid and the Bedouin Diaspora	Эль Сайид и диаспора	السيد وضواحيها	AlSayid y la Diáspora Beduina	24	90	31.2864	34.9079
אל עזי	387	אל עזי	Al Azi	Аль Ази	ال عازي	Al Azi	7	45	31.7189	34.8143
אל עמארני, אל מסק	1929	אל עמארני, אל מסק	El Amrani, El Masaq	Аль-Амарни, Аль-Меск	العمارنه ، المسك	El Amrani, El Masaq	27	90	30.7983	35.2346
אל עריאן	1046	אל עריאן	Al Arian	Аль Ариан	العريان	Al Arian	15	90	32.4981	35.1251
אל פורעה	115	אל פורעה והפזורה	El For'eh and the Bedouin Diaspora	Эль Фура и диаспора	الفرعة وضواحيها	El For'eh y la Diáspora Beduina	2	90	31.2198	35.1642
אל רום	1635	אל רום	El Rom	Эль Ром	الروم	El Rom	28	0	33.1805	35.7701
אל-ח'וואלד מערב	1282	אל-חוואלד מערב	Al Khawaled - West	Аль Хавалед - запад	الخوالد غرب	Al Jawaled - Oeste	34	60	32.771	35.1363
אלומה	323	אלומה	Aluma	Алума	ألوما	Aluma	7	45	31.652	34.7429
אלומות	1222	אלומות	Alumot	Алумот	ألوموت	Alumot	4	60	32.7066	35.5461
אלון	556	אלון	Alon	Алон	ألون	Alon	14	90	31.8334	35.3536
אלון הגליל	1276	אלון הגליל	Alon HaGalil	Алон а-Галиль	ألون هجليل	Alon HaGalil	34	60	32.7569	35.2203
אלון מורה	877	אלון מורה	Elon Moreh	Алон ха-Море	ألون موريه	Elon Moreh	11	90	32.2344	35.3312
אלון שבות	341	אלון שבות	Alon Shvut	Алон Швут	ألون شابوت	Alon Shvut	14	90	31.6549	35.1253
אלוני אבא	1231	אלוני אבא	Alonei Abba	Алоней Аба	ألوني أبا	Alonei Abba	34	60	32.7309	35.172
אלוני הבשן	1569	אלוני הבשן	Alonei HaBashan	Алоней а-Башан	ألوني هبشان	Alonei HaBashan	10	0	33.0441	35.8385
אלוני יצחק	1054	אלוני יצחק	Alonei Itzhak	Алоней Ицхак	ألوني يتسحاق	Alonei Itzjak	5	90	32.51	35.0052
אלונים	1217	אלונים	Alonim	Алоним	ألونيم	Alonim	34	60	32.7215	35.1434
אלי עד	1344	אלי עד	Eliad	Эли Ад	إلي عاد	Eliad	10	0	32.8066	35.7366
אליאב	257	אליאב	Eliav	Элиав	أليآف	Eliav	14	60	31.5302	34.9284
אליכין	980	אליכין	Elyachin	Эльяхин	اليخين	Elyajin	9	90	32.4077	34.925
אליפז ומכרות תמנע	15	אליפז ומכרות תמנע	Elipaz and Timna Mines	Элифаз и Копи Тимны	إيليفازوتمنع	Elipaz y las Minas de Timna	27	90	29.7882	35.0032
אליפלט	1466	אליפלט	Elifelet	Элифелет	إليفلت	Elifelet	1	30	32.9478	35.5485
אליקים	1131	אליקים	Elyakim	Эльяким	الياكيم	Elyakim	15	90	32.6333	35.0676
אלישיב	961	אלישיב	Elyashiv	Эльяшив	أليشيف	Elyashiv	9	90	32.3802	34.9099
אלישמע	827	אלישמע	Elishema	Элишема	أليشمع	Elishema	9	90	32.1548	34.9305
אלמגור	1432	אלמגור	Almagor	Альмагор	الماغور	Almagor	10	30	32.9127	35.6023
אלמוג	499	אלמוג	Almog	Альмог	ألموغ	Almog	12	90	31.79	35.462
אלעד	735	אלעד	Elad	Эльад	ايلعاد	Elad	20	90	32.0495	34.9507
אלעזר	351	אלעזר	Elazar	Эльазар	العيزر	Elazar	14	90	31.6597	35.1431
אלפי מנשה	844	אלפי מנשה	Alfei Menashe	Алфей Менаше	ألفي مناشيه	Alfei Menashe	9	90	32.1706	35.0149
אלקוש	1547	אלקוש	Alkosh	Алькош	الكوش	Alkosh	6	0	33.0343	35.3263
אלקנה	794	אלקנה	Elkana	Элькана	الكنا	Elkana	9	90	32.1106	35.0321
אמונים	406	אמונים	Emunim	Эмуним	أمونيم	Emunim	7	45	31.7439	34.6745
אמירים	1454	אמירים	Amirim	Амирим	أميريم	Amirim	1	30	32.9374	35.4504
אמנון	1422	אמנון	Amnon	Амнон	أمنون	Amnon	1	30	32.905	35.5711
אמץ	955	אמץ	Amatz	Амац	أومتس	Amatz	9	90	32.3692	34.9931
אמציה	256	אמציה	Amatzia	Амация	أمتسيا	Amatzia	14	60	31.5312	34.9145
אניעם	1488	אניעם	Aniam	Аниам	أنيعام	Aniam	10	15	32.9566	35.7397
אעבלין	1339	אעבלין	Ibillin	Иблин	إعبلين	Ibillin	16	60	32.8218	35.1901
אפיק	1314	אפיק	Afik	Афик	أفيك	Afik	10	0	32.7794	35.703
אפיקים	1188	אפיקים	Afikim	Афиким	أفيكيم	Afikim	4	60	32.6806	35.5777
אפק	1352	אפק	Afek	Афек	أفيك	Afek	1	60	32.8383	35.1278
אפרת	329	אפרת	Efrat	Эфрат	إفرات	Efrat	14	90	31.6536	35.1499
ארבל	1342	ארבל	Arbel	Арбель	أرابل	Arbel	4	60	32.8127	35.4826
ארגמן	853	ארגמן	Argaman	Аргаман	أرجمان	Argaman	29	90	32.1733	35.5223
ארז	263	ארז	Erez	Эрез	إيرز	Erez	13	15	31.5597	34.565
אריאל	795	אריאל	Ariel	Ариэль	ارئييل	Ariel	11	90	32.1046	35.1745
ארסוף	862	ארסוף	Arsuf	Арсуф	أرسوف	Arsuf	9	90	32.2128	34.816
אשבול	225	אשבול	Eshbol	Эшбол	أشبول	Eshbol	17	30	31.4455	34.6667
אשבל	1392	אשבל	Eshbal	Эшбаль	إشبال	Eshbal	16	60	32.877	35.306
אשדוד - א,ב,ד,ה	468	אשדוד - א,ב,ד,ה	Ashdod - Alef,Bet,Dalet,Heh	Ашдод - алеф,бет,далет,хей	أشدود - أ،ب،د، هـ	Ashdod - Alef,Bet,Dalet,Heh	7	45	31.8047	34.6469
אשדוד - איזור תעשייה צפוני	530	אשדוד - אזור תעשייה צפוני ונמל	Ashdod - Northern Industrial Zone And Port	Ашдод - Северная промышленная зона и порт	أشدود - المنطقة الصناعية الشمالية والميناء	Ashdod - Area Industrial Norte y puerto	7	45	31.8298	34.6602
אשדוד - ג,ו,ז	455	אשדוד - ג,ו,ז	Ashdod - Gimmel,Vav,Zain	Ашдод - гимел,вав,зайн	أشدود - ج، و، ز	Ashdod - Gimmel,Vav,Zain	7	45	31.7966	34.6579
אשדוד - ח,ט,י,יג,יד,טז	433	אשדוד - ח,ט,י,יג,יד,טז	Ashdod - Het,Tet,Yod,Yod Gimmel,Yod Dalet,Tet Zain	Ашдод - Хет,Тет,Йод,Йод Гиммель,Йод Далет,Тет Заин	أشدود - ح، ط، ي، ي ج،ي د، ط ز	Ashdod - Het,Tet,Yod,Yod Gimmel,Yod Dalet,Tet Zain	7	45	31.7778	34.6462
אשדוד -יא,יב,טו,יז,מרינה,סיט	432	אשדוד - יא,יב,טו,יז,מרינה,סיטי	Ashdod - Yod Alef,Yod Bet,Tet Vav,Yod Zain,Marina,City	Ашдод - Йод Алеф,Йод Бет,Тет Вав,Йод Заин,Марина,Сити	أشدود - ي أ، ي ب، ط و، ي ز، مري	Ashdod - Yod Alef,Yod Bet,Tet Vav,Yod Zain,Marina,City	7	45	31.7836	34.6332
אשדות יעקב איחוד	1161	אשדות יעקב איחוד	Ashdod Yacov Ichud	Ашдот Яаков Ихуд	أشدوت يعقوب إيحود	Ashdod Yacov Ichud	10	60	32.6588	35.5796
אשדות יעקב מאוחד	1168	אשדות יעקב מאוחד	Ashdot Yaakov Meuhad	Ашдот Яаков Меухад	أشدوت يعقوب مئوحاد	Ashdot Yaakov Meujad	10	60	32.6648	35.5828
אשחר	1399	אשחר	Eshchar	Эшхар	إشحار	Eshjar	16	60	32.8851	35.2996
אשכולות	203	אשכולות	Eshkolot	Эшколот	أشكولوت	Eshkolot	24	60	31.3912	34.9049
אשל הנשיא	168	אשל הנשיא	Eshel HaNassi	Эшель а-Наси	إيشل هنسي	Eshel HaNassi	17	45	31.3268	34.6975
אשלים	1774	אשלים	Ashalim	Ашалим	اشليم	Ashalim	2	90	30.9642	34.6997
אשקלון - דרום	1932	אשקלון - דרום	Ashkelon - South	Ашкелон - Юг	أشكلون - جنوب	Ashkelon - Sur	21	30	31.661	34.5688
אשקלון - צפון	320	אשקלון - צפון	Ashkelon - North	Ашкелон - север	أشكلون - شمال	Ashkelon - norte	21	30	31.686	34.5839
אשרת	1482	אשרת	Oshrat	Ошрат	أوشرات	Oshrat	1	30	32.9716	35.1557
אשתאול	462	אשתאול	Eshtaol	Эштаоль	اشتوئيل	Eshtaol	3	90	31.7804	35.0101
אתר דודאים	1752	אתר דודאים	Duda'im Site	Центр для посетителей Дуда	موقع دود أيم	Sitio Duda'im	24	45	31.3122	34.7338
אתר ההנצחה גולני	1715	אתר ההנצחה גולני	Golani Memorial Site	Мемориал Голани	موقع تذكاري في غولاني	Sitio conmemorativo Golani	4	60	32.7774	35.4103
באקה אל גרבייה	982	באקה אל גרבייה	bqa al-Gharbiyye	Бака аль Гарбия	باقة الغربية	bqa al-Gharbiyye	15	90	32.4229	35.0358
באר אורה	12	באר אורה	Be'er Ora	Беэр Ора	بئير أوره	Be'er Ora	27	90	29.7102	34.9872
באר גנים	362	באר גנים	Be'er Ganim	Беэр Ганим	بئير جانيم	Be'er Ganim	21	30	31.7004	34.6109
באר טוביה	382	באר טוביה	Be'er Tuvia	Беэр Тувья	بئير طوبيا	Be'er Tuvia	7	45	31.7371	34.7256
באר יעקב	1809	באר יעקב	Be'er Yacov	Беэр Яаков	بئير يعقوب	Be'er Yacov	23	90	31.9435	34.839
באר מילכה	1771	באר מילכה	Be'er Milka	Беэр Милка	بئير ميلخا	Be'er Milka	2	60	30.9341	34.4056
באר שבע - דרום	1749	באר שבע - דרום	Beer Sheva - South	Беэр шева - Юг	بئر السبع - جنوب	Beer Sheva - Sur	24	60	31.2413	34.7711
באר שבע - מזרח	124	באר שבע - מזרח	Beer Sheva - East	Беэр Шева - восток	بئر السبع - شرق	Beer Sheva - Este	24	60	31.2345	34.8201
באר שבע - מערב	141	באר שבע - מערב	Beer Sheva - West	Беэр Шева - запад	بئر السبع - غرب	Beer Sheva - Oeste	24	60	31.2612	34.7794
באר שבע - צפון	1748	באר שבע - צפון	Beer Sheva - North	Беэр Шева - север	بئر السبع - شمال	Beer Sheva - Norte	24	60	31.2698	34.8151
בארות יצחק	727	בארות יצחק	Be'erot Itzhak	Беэрот Ицхак	بئروت يتسحاق	Be'erot Itzhak	20	90	32.042	34.9102
בארותיים	923	בארותיים	Be'erotaim	Беэротаим	بئروتايم	Be'erotaim	9	90	32.321	34.9834
בארי	212	בארי	Be'eri	Беэри	بئيري	Be'eri	13	15	31.4245	34.4926
בוסתן הגליל	1458	בוסתן הגליל	Bustan HaGalil	Бустан ха-Галиль	بستان الجليل	Bustan HaGalil	1	30	32.9486	35.0807
בועיינה-נוג'ידאת	1328	בועיינה-נוגידאת	Bu'eine Nujeidat	Буэйне-Нуджейдат	البعنة النجيدات	Bu'eine Nujeidat	16	60	32.8077	35.3653
בוקעתא	1641	בוקעתא	Buq'ata	Буката	بقعاثا	Buq'ata	28	0	33.2027	35.7768
בורגתה	927	בורגתה	Burgata	Бургата	بورجاتا	Burgata	9	90	32.326	34.9638
בחן	944	בחן	Bahan	Бахан	بلدة بوحن	Bajan	9	90	32.3518	35.0185
בטחה	173	בטחה	Bitha	Битха	بطحا	Bitja	17	45	31.3339	34.6343
ביצרון	470	ביצרון	Bitzaron	Бицарон	بيتسرون	Bitzaron	7	60	31.795	34.7293
ביר אלמכסור	1285	ביר אלמכסור	Bir al-Maksur	Бир аль-Максур	بئر المكسور	Bir al-Maksur	16	60	32.7773	35.2206
